"Resumen de la Prueba"
"Parámetro","Valor"
"Nombre del archivo","1.csv"
"startTime","2025-09-16T04:55:38.192Z"
"durationLabel","30.00s"
"samplesPerSecondLabel","40 Hz"
"totalSamples","1201"
"dominantRegimen","TRANSITION"

"Estadísticas de la Prueba"
"Sensor","Media","Desv. Est.","Mín","Máx"
"Sensor 1","2.47","1.61","-0.88","5.94"

"#RAW_HEADERS",time,sensor1
"Datos Recolectados"
"Nº de Muestra","time","Sensor 1"
1,0.03,4.09
2,0.05,1.36
3,0.08,1.45
4,0.10,1.99
5,0.13,0.76
6,0.15,2.74
7,0.17,4.27
8,0.20,1.77
9,0.22,1.51
10,0.25,1.49
11,0.27,3.39
12,0.30,4.18
13,0.33,4.51
14,0.35,0.59
15,0.38,2.14
16,0.40,4.10
17,0.43,3.21
18,0.45,0.71
19,0.48,3.14
20,0.50,2.11
21,0.53,0.78
22,0.55,4.06
23,0.58,1.51
24,0.60,3.24
25,0.63,5.09
26,0.65,4.56
27,0.68,3.37
28,0.70,3.26
29,0.73,2.77
30,0.75,3.33
31,0.78,5.06
32,0.80,5.28
33,0.83,4.28
34,0.85,4.59
35,0.88,5.15
36,0.90,5.71
37,0.93,3.13
38,0.95,3.00
39,0.98,3.75
40,1.00,3.07
41,1.03,2.54
42,1.05,1.92
43,1.08,1.10
44,1.10,4.06
45,1.13,1.52
46,1.15,2.52
47,1.17,4.63
48,1.20,2.17
49,1.22,5.94
50,1.25,3.20
51,1.27,1.96
52,1.30,3.59
53,1.32,3.38
54,1.35,4.48
55,1.37,4.75
56,1.40,4.25
57,1.42,3.88
58,1.45,2.69
59,1.47,2.68
60,1.50,1.02
61,1.52,5.17
62,1.55,1.69
63,1.57,3.93
64,1.60,1.90
65,1.62,1.21
66,1.65,5.72
67,1.67,5.14
68,1.70,4.37
69,1.72,5.30
70,1.75,1.11
71,1.77,1.83
72,1.80,4.78
73,1.82,3.60
74,1.85,2.22
75,1.87,4.78
76,1.90,4.95
77,1.92,3.04
78,1.95,5.60
79,1.97,4.83
80,2.00,5.68
81,2.02,4.35
82,2.05,2.80
83,2.07,2.32
84,2.10,3.89
85,2.12,2.03
