"Resumen de la Prueba"
"Parámetro","Valor"
"Nombre del archivo","150.csv"
"startTime","2025-09-17T02:49:00.892Z"
"durationLabel","5.53s"
"samplesPerSecondLabel","150 Hz"
"totalSamples","829"
"dominantRegimen","indeterminado"

"Estadísticas de la Prueba"
"Sensor","Media","Desv. Est.","Mín","Máx"
"Sensor 1","2.72","1.64","-0.85","5.93"
"Sensor 4","2.68","1.56","-0.96","5.85"

"#RAW_HEADERS",time,sensor1,sensor4
"Datos Recolectados"
"Nº de Muestra","time","Sensor 1","Sensor 4"
1,0.01,3.05,0.60
2,0.01,4.24,2.59
3,0.02,1.72,4.03
4,0.03,3.83,3.48
5,0.03,1.64,4.33
6,0.04,0.83,2.49
7,0.05,4.78,2.00
8,0.05,4.01,3.18
9,0.06,3.93,1.75
10,0.07,4.68,4.82
11,0.07,4.97,0.67
12,0.08,4.11,3.00
13,0.09,2.74,3.66
14,0.09,4.23,4.96
15,0.10,0.39,4.49
16,0.11,3.42,3.70
17,0.11,0.34,2.42
18,0.12,1.85,3.01
19,0.13,0.47,4.69
20,0.13,4.97,1.03
21,0.14,2.26,0.95
22,0.15,0.93,2.08
23,0.15,1.30,4.49
24,0.16,1.82,0.40
25,0.17,2.74,3.73
26,0.17,2.84,4.70
27,0.18,4.42,4.71
28,0.19,2.98,1.14
29,0.19,0.54,3.79
30,0.20,2.06,1.71
31,0.21,4.66,1.41
32,0.21,4.40,4.28
33,0.22,1.85,4.59
34,0.23,4.27,0.49
35,0.23,1.53,4.41
36,0.24,1.75,2.61
37,0.25,1.62,2.63
38,0.25,2.06,3.18
39,0.26,3.83,4.75
40,0.27,3.89,4.19
41,0.27,4.87,2.90
42,0.28,4.65,3.76
43,0.29,3.68,1.87
44,0.29,4.42,1.10
45,0.30,4.61,1.96
46,0.31,4.90,1.81
47,0.31,2.61,3.66
48,0.32,2.44,1.96
49,0.33,1.90,4.74
50,0.33,2.88,5.36
51,0.34,3.72,4.91
52,0.35,5.14,1.48
53,0.35,2.24,2.52
54,0.36,3.85,4.21
55,0.37,3.13,2.09
56,0.37,0.74,1.48
57,0.38,0.93,3.21
58,0.39,4.24,5.53
59,0.39,4.64,1.55
60,0.40,1.31,4.71
61,0.41,2.57,4.29
62,0.41,5.33,3.16
63,0.42,5.02,5.58
64,0.43,2.23,1.56
65,0.43,4.80,4.24
66,0.44,1.25,5.57
67,0.45,1.00,4.62
68,0.45,3.09,2.97
69,0.46,1.06,3.18
70,0.47,5.21,2.31
71,0.47,3.62,3.13
72,0.48,2.78,3.80
73,0.49,4.07,0.84
74,0.49,3.87,5.27
75,0.50,4.55,1.44
76,0.51,3.70,4.28
77,0.51,3.32,0.93
78,0.52,4.01,5.46
79,0.53,3.46,2.78
80,0.53,3.43,4.87
81,0.54,4.08,3.73
82,0.55,2.69,3.27
83,0.55,1.00,1.49
84,0.56,2.37,2.32
85,0.57,5.05,4.20
86,0.57,3.55,0.93
87,0.58,3.29,3.36
88,0.59,3.55,4.85
89,0.59,2.00,2.31
90,0.60,2.09,3.03
91,0.61,2.64,5.85
92,0.61,3.59,2.16
93,0.62,3.80,3.27
94,0.63,4.40,2.62
95,0.63,4.12,3.02
96,0.64,0.89,1.36
97,0.65,3.31,2.21
98,0.65,2.89,1.74
99,0.66,4.33,5.33
100,0.67,3.21,2.79
101,0.67,2.48,5.59
102,0.68,3.25,2.89
103,0.69,5.52,3.90
104,0.69,1.31,5.08
105,0.70,2.05,5.53
106,0.71,5.43,1.51
107,0.71,3.21,1.02
108,0.72,2.62,3.46
109,0.73,2.36,4.52
110,0.73,5.16,2.34
111,0.74,3.29,3.98
112,0.75,0.95,1.23
113,0.75,5.67,5.33
114,0.76,4.12,4.86
115,0.77,2.86,2.69
116,0.77,1.64,3.90
117,0.78,2.26,1.30
118,0.79,1.86,5.74
119,0.79,5.39,4.30
120,0.80,2.17,1.04
121,0.81,5.29,2.41
122,0.81,5.49,3.75
123,0.82,3.82,1.72
124,0.83,4.96,5.20
125,0.83,1.20,2.81
126,0.84,3.52,1.04
127,0.85,5.32,4.47
128,0.85,3.57,4.39
129,0.86,2.94,2.64
130,0.87,4.82,5.05
131,0.87,5.20,2.10
132,0.88,4.99,4.37
133,0.89,1.31,5.85
134,0.89,3.86,3.25
135,0.90,2.80,3.27
136,0.91,3.45,5.14
137,0.91,4.34,3.62
138,0.92,1.16,5.29
139,0.93,2.93,3.39
140,0.93,3.09,3.94
141,0.94,2.23,3.80
142,0.95,4.80,3.91
143,0.95,3.08,5.35
144,0.96,1.51,5.58
145,0.97,1.88,3.41
146,0.97,4.60,2.82
147,0.98,5.48,4.10
148,0.99,5.46,1.01
149,0.99,4.66,5.50
150,1.00,2.41,2.65
151,1.01,4.58,4.14
152,1.01,3.43,2.44
153,1.02,2.08,3.30
154,1.03,2.60,3.81
155,1.03,3.82,3.40
156,1.04,2.98,2.91
157,1.05,2.61,2.01
158,1.05,2.13,3.27
159,1.06,5.84,1.27
160,1.07,2.44,1.71
161,1.07,3.50,3.07
162,1.08,3.32,5.76
