"Resumen de la Prueba"
"Parámetro","Valor"
"Nombre del archivo","1_1.csv"
"startTime","2025-09-16T05:23:25.950Z"
"durationLabel","12.57s"
"samplesPerSecondLabel","100 Hz"
"totalSamples","1257"
"dominantRegimen","TRANSITION"

"Estadísticas de la Prueba"
"Sensor","Media","Desv. Est.","Mín","Máx"
"Sensor 1","2.49","1.60","-0.95","5.90"

"#RAW_HEADERS",time,sensor1
"Datos Recolectados"
"Nº de Muestra","time","Sensor 1"
1,0.01,3.27
2,0.02,0.70
3,0.03,1.95
4,0.04,3.42
5,0.05,0.76
6,0.06,0.20
7,0.07,3.24
8,0.08,3.70
9,0.09,4.37
10,0.10,0.86
11,0.11,1.21
12,0.12,4.12
13,0.13,1.90
14,0.14,5.01
15,0.15,4.16
16,0.16,3.31
17,0.17,3.48
18,0.18,4.00
19,0.19,0.80
20,0.20,3.45
21,0.21,0.55
22,0.22,4.72
23,0.23,2.86
24,0.24,2.14
25,0.25,0.77
26,0.26,2.40
27,0.27,3.24
28,0.28,4.86
29,0.29,4.81
30,0.30,3.95
31,0.31,1.79
32,0.32,3.64
33,0.33,1.09
34,0.34,3.11
35,0.35,2.16
36,0.36,4.02
37,0.37,1.71
38,0.38,3.19
39,0.39,4.86
40,0.40,5.02
41,0.41,1.90
42,0.42,2.14
43,0.43,0.95
44,0.44,3.79
45,0.45,2.49
46,0.46,1.87
47,0.47,5.12
48,0.48,1.44
49,0.49,4.79
50,0.50,4.19
51,0.51,4.50
52,0.52,4.41
53,0.53,2.46
54,0.54,1.63
55,0.55,1.13
56,0.56,1.47
57,0.57,4.39
58,0.58,3.37
59,0.59,2.08
60,0.60,3.64
61,0.61,2.22
62,0.62,1.03
63,0.63,5.14
64,0.64,3.72
65,0.65,1.97
66,0.66,0.71
67,0.67,0.74
68,0.68,2.06
69,0.69,1.20
70,0.70,4.56
71,0.71,3.64
72,0.72,1.92
73,0.73,2.12
74,0.74,2.75
75,0.75,4.37
76,0.76,2.34
77,0.77,3.38
78,0.78,2.82
79,0.79,5.54
80,0.80,5.51
81,0.81,2.59
82,0.82,4.79
83,0.83,3.02
84,0.84,0.96
85,0.85,5.60
86,0.86,4.47
87,0.87,2.14
88,0.88,5.05
89,0.89,3.63
90,0.90,2.42
91,0.91,1.60
92,0.92,1.45
93,0.93,2.95
94,0.94,3.68
95,0.95,4.44
96,0.96,2.79
97,0.97,4.19
98,0.98,0.90
99,0.99,2.61
100,1.00,5.69
101,1.01,3.21
102,1.02,1.37
103,1.03,2.08
104,1.04,3.71
105,1.05,1.70
106,1.06,3.65
107,1.07,0.97
108,1.08,1.82
109,1.09,1.07
110,1.10,2.11
111,1.11,5.63
112,1.12,5.55
113,1.13,4.20
114,1.14,3.10
115,1.15,1.46
116,1.16,3.88
117,1.17,3.47
118,1.18,3.55
119,1.19,1.77
120,1.20,2.18
121,1.21,1.35
122,1.22,2.48
123,1.23,5.02
124,1.24,4.63
125,1.25,5.71
126,1.26,4.10
127,1.27,2.08
128,1.28,3.27
129,1.29,5.39
130,1.30,2.05
131,1.31,3.25
132,1.32,2.88
133,1.33,0.98
134,1.34,4.60
135,1.35,2.98
136,1.36,5.40
137,1.37,2.67
138,1.38,2.43
139,1.39,4.75
140,1.40,1.18
