"Resumen de la Prueba"
"Parámetro","Valor"
"Nombre del archivo","Aaaa.csv"
"startTime","2025-09-16T04:07:23.330Z"
"durationLabel","10.00s"
"samplesPerSecondLabel","10 Hz"
"totalSamples","101"

"Estadísticas de la Prueba"
"Sensor","Media","Desv. Est.","Mín","Máx"
"Sensor 1","2.79","1.44","-0.21","5.66"
"Sensor 2","2.35","1.57","-0.79","5.40"
"Sensor 3","2.43","1.53","-0.67","5.85"

"#RAW_HEADERS",time,sensor1,sensor2,sensor3
"Datos Recolectados"
"Nº de Muestra","time","Sensor 1","Sensor 2","Sensor 3"
1,0.10,3.78,2.48,2.99
2,0.20,3.24,1.81,2.29
3,0.30,1.52,3.55,1.99
4,0.40,3.72,3.55,5.27
5,0.50,3.57,0.95,1.49
6,0.60,4.81,1.93,3.50
7,0.70,1.98,3.14,3.60
8,0.80,2.68,5.04,2.59
9,0.90,4.33,2.13,4.17
10,1.00,3.90,1.65,0.90
11,1.10,1.12,3.67,0.93
12,1.20,1.53,2.01,0.15
13,1.30,4.94,4.44,1.21
14,1.40,5.66,0.96,3.23
15,1.50,1.58,0.46,1.28
16,1.60,5.04,2.06,1.69
17,1.70,3.68,0.02,1.23
18,1.80,1.15,0.94,2.18
19,1.90,3.10,3.73,4.29
20,2.00,1.76,1.92,4.38
21,2.10,3.20,3.35,3.87
22,2.20,1.64,2.69,3.00
23,2.30,3.99,-0.54,3.11
24,2.40,3.16,2.90,2.33
25,2.50,2.36,-0.73,3.22
26,2.60,2.78,-0.15,1.28
27,2.70,0.96,3.53,4.01
28,2.80,1.57,4.28,2.32
29,2.90,2.86,3.32,2.26
30,3.00,4.32,0.97,3.33
31,3.10,1.40,3.22,4.25
32,3.20,0.29,2.71,-0.05
33,3.30,1.53,2.15,1.00
34,3.40,3.74,4.11,3.99
35,3.50,1.47,3.55,3.76
36,3.60,3.30,5.30,3.19
37,3.70,1.05,4.97,0.57
38,3.80,3.68,2.40,3.49
39,3.90,-0.02,3.40,1.53
40,4.00,3.96,5.10,-0.05
41,4.10,3.74,4.29,1.21
42,4.20,1.84,0.92,2.42
43,4.30,2.10,3.78,5.32
44,4.40,1.70,2.09,4.03
45,4.50,3.90,2.03,3.36
46,4.60,0.44,3.31,1.25
47,4.70,-0.06,4.97,1.86
48,4.80,1.86,3.61,3.43
49,4.90,3.02,2.07,4.98
50,5.00,2.61,2.40,1.87
51,5.10,2.70,3.98,4.76
52,5.20,4.02,0.94,2.03
53,5.30,2.23,2.30,-0.13
54,5.40,2.37,2.63,2.26
55,5.50,0.50,1.04,1.39
56,5.60,2.34,-0.53,1.47
57,5.70,2.89,0.24,1.94
58,5.80,1.14,2.87,-0.10
59,5.90,4.11,0.26,-0.67
60,6.00,3.54,0.94,0.22
61,6.10,1.20,1.74,0.88
62,6.20,4.05,4.33,0.13
63,6.30,4.56,4.65,3.54
64,6.40,4.46,1.04,2.49
65,6.50,1.34,4.65,5.57
66,6.60,1.12,5.40,4.55
67,6.70,2.89,2.74,2.12
68,6.80,4.35,3.42,2.57
69,6.90,3.41,4.92,5.85
70,7.00,5.57,2.45,1.47
71,7.10,2.77,1.62,0.72
72,7.20,1.06,3.16,4.74
73,7.30,0.86,1.80,3.11
74,7.40,4.92,1.86,2.49
75,7.50,1.20,1.13,1.19
76,7.60,4.05,3.82,1.46
77,7.70,2.18,1.27,0.80
78,7.80,4.65,3.94,2.74
79,7.90,3.37,1.21,2.99
80,8.00,3.84,4.02,1.10
81,8.10,4.61,1.46,2.51
82,8.20,3.07,0.77,-0.17
83,8.30,5.53,0.11,2.46
84,8.40,5.64,3.06,2.41
85,8.50,2.80,0.08,1.52
86,8.60,0.85,-0.73,4.18
87,8.70,1.94,1.98,4.73
88,8.80,2.70,0.85,1.27
89,8.90,1.28,-0.79,5.24
90,9.00,5.28,2.71,1.31
91,9.10,2.68,0.92,1.02
92,9.20,4.91,-0.19,3.04
93,9.30,1.48,1.65,4.83
94,9.40,2.75,1.49,4.31
95,9.50,3.15,3.01,2.37
96,9.60,4.68,3.36,1.64
97,9.70,-0.21,0.63,0.44
98,9.80,1.50,5.09,3.27
99,9.90,1.98,2.20,3.93
100,10.00,3.00,1.89,1.29
101,10.00,3.30,1.23,0.92
