"Resumen de la Prueba"
"Parámetro","Valor"
"Nombre del archivo","a.csv"
"startTime","2025-09-16T04:49:12.430Z"
"durationLabel","10.00s"
"samplesPerSecondLabel","20 Hz"
"totalSamples","200"

"Estadísticas de la Prueba"
"Sensor","Media","Desv. Est.","Mín","Máx"
"Sensor 1","2.67","1.57","-0.89","5.95"
"Sensor 2","2.62","1.56","-0.63","5.91"
"Sensor 3","2.50","1.64","-0.79","5.78"
"Sensor 4","2.52","1.51","-0.62","5.74"

"#RAW_HEADERS",time,sensor1,sensor2,sensor3,sensor4
"Datos Recolectados"
"Nº de Muestra","time","Sensor 1","Sensor 2","Sensor 3","Sensor 4"
1,0.05,4.02,2.05,2.76,0.86
2,0.10,4.21,3.00,4.57,1.85
3,0.15,3.92,1.10,5.22,3.24
4,0.20,4.96,0.85,4.36,2.65
5,0.25,3.49,3.76,0.91,4.58
6,0.30,3.07,4.39,5.78,4.04
7,0.35,2.41,3.75,1.69,5.56
8,0.40,4.02,5.55,3.95,1.09
9,0.45,2.64,3.70,2.12,3.82
10,0.50,4.32,5.21,2.82,2.21
11,0.55,4.53,3.98,1.32,3.58
12,0.60,4.48,4.25,3.19,1.25
13,0.65,2.64,5.03,4.69,4.89
14,0.70,1.48,2.66,3.33,0.77
15,0.75,4.82,2.04,1.57,0.66
16,0.80,3.25,5.00,3.94,0.25
17,0.85,3.39,1.90,2.58,1.64
18,0.90,5.69,1.32,1.57,0.39
19,0.95,2.55,3.27,3.59,-0.16
20,1.00,1.43,2.61,2.50,0.78
21,1.05,1.45,3.86,4.89,3.07
22,1.10,3.92,2.97,3.49,3.51
23,1.15,2.00,4.69,2.35,3.97
24,1.20,1.88,4.22,1.89,3.39
25,1.25,1.66,2.66,2.20,0.83
26,1.30,5.32,3.35,0.51,3.97
27,1.35,4.15,2.18,0.96,1.32
28,1.40,1.84,4.22,3.21,0.98
29,1.45,4.48,5.06,0.74,1.98
30,1.50,5.20,1.26,-0.39,1.47
31,1.55,4.31,1.61,0.91,3.35
32,1.60,2.77,1.86,0.08,1.21
33,1.65,1.33,2.59,0.07,1.92
34,1.70,2.78,2.55,0.75,1.75
35,1.75,1.60,1.33,-0.32,2.86
36,1.80,2.68,3.43,2.20,1.26
37,1.85,2.37,1.07,-0.61,2.44
38,1.90,1.96,1.65,3.06,1.01
39,1.95,3.52,-0.63,1.25,3.21
40,2.00,2.25,1.72,2.13,2.07
41,2.05,2.16,-0.52,1.48,1.45
42,2.10,3.10,0.50,2.26,5.35
43,2.15,4.71,0.52,3.30,5.34
44,2.20,5.24,1.27,3.46,2.72
45,2.25,0.80,3.61,1.96,2.46
46,2.30,1.44,1.41,0.82,3.09
47,2.35,1.24,2.17,3.64,3.56
48,2.40,0.88,1.65,3.73,4.64
49,2.45,3.40,0.65,1.25,4.46
50,2.50,1.33,0.85,2.32,4.07
51,2.55,0.92,1.28,4.23,2.40
52,2.60,5.08,2.00,3.52,1.54
53,2.65,0.71,2.53,4.97,0.94
54,2.70,1.17,1.41,5.14,2.21
55,2.75,3.61,2.08,2.01,0.33
56,2.80,1.26,0.96,1.83,2.37
57,2.85,4.85,2.96,1.19,-0.62
58,2.90,1.00,1.32,3.85,-0.22
59,2.95,3.56,3.56,1.52,3.25
60,3.00,4.59,4.11,5.12,3.61
61,3.05,1.57,1.14,3.32,1.62
62,3.10,0.69,3.19,4.00,4.70
63,3.15,4.71,4.46,3.24,1.00
64,3.20,3.60,3.16,4.01,2.09
65,3.25,3.53,2.94,1.82,0.91
66,3.30,1.78,2.40,2.37,3.31
67,3.35,0.14,4.15,0.54,5.06
68,3.40,3.53,2.16,4.21,2.34
69,3.45,0.86,3.41,1.26,2.89
70,3.50,4.43,5.24,1.01,1.22
71,3.55,2.64,2.46,2.06,3.09
72,3.60,3.91,1.16,2.86,3.77
73,3.65,3.82,3.14,-0.79,4.22
74,3.70,1.94,5.71,0.01,4.28
75,3.75,4.11,5.90,-0.20,5.05
76,3.80,0.86,2.40,0.10,2.12
77,3.85,1.25,3.36,3.09,2.99
78,3.90,0.62,4.76,2.06,5.00
79,3.95,1.16,2.26,1.83,2.59
80,4.00,2.46,5.21,3.84,4.51
81,4.05,0.54,2.33,3.75,2.29
82,4.10,0.78,5.75,4.61,0.72
83,4.15,2.24,4.25,0.28,4.17
84,4.20,3.47,4.06,4.62,-0.17
85,4.25,3.02,1.03,4.71,2.13
86,4.30,3.74,4.25,1.10,1.97
87,4.35,3.72,0.67,1.40,0.32
88,4.40,1.14,2.21,1.49,1.31
89,4.45,0.76,3.09,2.60,0.64
90,4.50,1.94,0.58,4.58,1.50
91,4.55,3.38,3.68,3.62,1.15
92,4.60,0.42,2.90,3.06,1.63
93,4.65,2.92,2.07,3.15,3.11
94,4.70,0.14,2.03,2.50,4.94
95,4.75,3.74,-0.05,2.63,2.78
96,4.80,1.15,4.40,5.72,1.80
97,4.85,0.85,1.58,2.96,4.39
98,4.90,-0.49,4.55,3.08,4.26
99,4.95,3.82,4.30,4.19,1.00
100,5.00,2.03,3.66,2.31,1.46
101,5.05,2.17,1.31,3.16,2.27
102,5.10,0.57,2.13,3.48,1.95
103,5.15,-0.89,-0.27,0.73,3.04
104,5.20,0.29,3.88,4.73,5.04
105,5.25,0.29,3.55,0.71,4.92
106,5.30,1.72,1.66,4.19,4.65
107,5.35,1.30,0.29,1.97,2.36
108,5.40,0.10,1.88,1.12,3.21
109,5.45,2.70,2.54,-0.51,3.04
110,5.50,0.67,2.61,1.90,1.56
111,5.55,1.89,0.56,3.93,4.14
112,5.60,3.83,1.90,0.03,3.14
113,5.65,-0.11,3.04,3.63,2.93
114,5.70,0.21,3.44,0.54,4.01
115,5.75,1.12,0.92,-0.58,0.50
116,5.80,0.84,0.24,2.56,0.71
117,5.85,1.09,1.33,2.78,1.76
118,5.90,3.56,3.37,3.84,0.14
119,5.95,0.00,2.13,-0.55,1.79
120,6.00,1.45,3.24,-0.12,0.69
121,6.05,4.48,0.99,2.00,2.15
122,6.10,1.65,-0.26,1.08,3.73
123,6.15,2.64,3.02,1.27,2.24
124,6.20,0.10,2.93,2.97,2.60
125,6.25,2.36,0.25,4.01,1.35
126,6.30,0.47,3.09,3.75,4.96
127,6.35,1.09,4.80,3.12,4.23
128,6.40,1.98,3.36,2.52,3.53
129,6.45,3.65,2.52,1.51,2.81
130,6.50,1.49,1.35,3.26,3.57
131,6.55,1.52,5.10,4.70,3.07
132,6.60,2.20,4.58,2.84,3.23
133,6.65,4.73,3.78,2.87,5.50
134,6.70,5.19,2.23,4.94,2.10
135,6.75,4.66,2.43,3.93,0.98
136,6.80,3.26,2.27,3.60,4.15
137,6.85,5.16,1.97,2.81,4.98
138,6.90,3.84,4.68,4.93,3.22
139,6.95,2.98,4.96,3.86,2.38
140,7.00,4.66,5.03,5.36,4.89
141,7.05,3.83,5.35,2.28,0.77
142,7.10,5.25,3.63,4.58,3.84
143,7.15,1.26,5.08,4.77,3.57
144,7.20,3.85,1.74,3.77,1.79
145,7.25,2.94,5.42,2.85,2.61
146,7.30,4.24,3.00,4.04,0.83
147,7.35,5.13,3.32,1.54,0.01
148,7.40,4.21,1.46,2.88,1.53
149,7.45,2.68,1.87,3.34,2.29
150,7.50,1.85,0.91,1.18,3.15
151,7.55,4.23,5.13,1.20,2.76
152,7.60,1.54,3.88,1.47,3.32
153,7.65,1.91,0.64,0.81,3.18
154,7.70,3.05,3.91,1.29,3.13
155,7.75,5.95,4.84,2.34,0.61
156,7.80,2.15,4.59,0.94,2.15
157,7.85,2.36,4.29,-0.69,2.07
158,7.90,5.90,2.57,3.39,0.74
159,7.95,5.02,3.43,0.50,3.47
160,8.00,4.47,4.08,3.80,2.57
161,8.05,4.22,4.31,0.46,0.97
162,8.10,2.43,3.97,0.36,4.43
163,8.15,4.99,0.69,1.17,4.59
164,8.20,4.85,2.29,1.13,3.76
165,8.25,5.06,-0.37,3.47,2.68
166,8.30,4.33,1.07,0.09,1.26
167,8.35,3.83,1.05,0.42,5.48
168,8.40,2.02,0.35,0.32,1.28
169,8.45,5.53,1.06,0.28,2.08
170,8.50,2.17,-0.54,2.74,4.47
171,8.55,1.76,1.18,5.07,0.72
172,8.60,4.35,2.21,5.58,1.32
173,8.65,3.82,0.47,4.12,2.42
174,8.70,1.31,0.14,3.64,0.12
175,8.75,4.26,0.08,4.30,1.09
176,8.80,4.63,1.92,1.49,3.49
177,8.85,2.50,2.51,5.22,0.39
178,8.90,2.54,1.25,5.11,0.26
179,8.95,2.70,2.67,2.80,2.50
