"Resumen de la Prueba"
"Parámetro","Valor"
"Nombre del archivo","aa.csv"
"startTime","2025-09-16T05:22:15.644Z"
"durationLabel","10.00s"
"samplesPerSecondLabel","121 Hz"
"totalSamples","1211"
"dominantRegimen","TRANSITION"

"Estadísticas de la Prueba"
"Sensor","Media","Desv. Est.","Mín","Máx"
"Sensor 1","2.72","1.60","-0.97","5.98"

"#RAW_HEADERS",time,sensor1
"Datos Recolectados"
"Nº de Muestra","time","Sensor 1"
1,0.01,4.22
2,0.02,0.04
3,0.02,2.70
4,0.03,3.33
5,0.04,5.01
6,0.05,3.28
7,0.06,1.35
8,0.07,1.90
9,0.07,1.56
10,0.08,1.70
11,0.09,3.86
12,0.10,0.15
13,0.11,2.63
14,0.12,4.77
15,0.12,4.19
16,0.13,4.00
17,0.14,0.33
18,0.15,1.89
19,0.16,3.08
20,0.17,0.48
21,0.17,2.80
22,0.18,2.07
23,0.19,2.21
24,0.20,3.17
25,0.21,3.33
26,0.21,2.39
27,0.22,2.35
28,0.23,0.41
29,0.24,4.13
30,0.25,1.55
31,0.26,0.69
32,0.26,4.94
33,0.27,4.18
34,0.28,0.98
35,0.29,2.75
36,0.30,2.24
37,0.31,1.43
38,0.31,3.88
39,0.32,4.45
40,0.33,3.56
41,0.34,3.70
42,0.35,0.78
43,0.36,0.87
44,0.36,5.06
45,0.37,3.98
46,0.38,1.26
47,0.39,2.44
48,0.40,0.75
49,0.40,3.50
50,0.41,3.72
51,0.42,2.64
52,0.43,4.44
53,0.44,4.58
54,0.45,2.55
55,0.45,2.05
56,0.46,3.75
57,0.47,4.56
58,0.48,2.47
59,0.49,5.17
60,0.50,1.81
61,0.50,4.74
62,0.51,1.56
63,0.52,5.09
64,0.53,5.48
65,0.54,3.66
66,0.55,5.50
67,0.55,0.61
68,0.56,0.64
69,0.57,2.50
70,0.58,1.50
71,0.59,5.30
72,0.60,1.51
73,0.60,0.70
74,0.61,1.78
75,0.62,3.30
76,0.63,4.54
77,0.64,2.46
78,0.64,3.05
79,0.65,3.76
80,0.66,4.74
81,0.67,1.32
82,0.68,2.43
83,0.69,3.65
84,0.69,1.39
85,0.70,3.82
86,0.71,3.34
87,0.72,2.04
88,0.73,4.98
89,0.74,4.63
90,0.74,3.13
91,0.75,4.21
92,0.76,4.78
93,0.77,5.32
94,0.78,3.65
95,0.79,3.92
96,0.79,4.95
97,0.80,1.91
98,0.81,0.78
99,0.82,3.93
100,0.83,3.22
101,0.83,2.94
102,0.84,2.39
103,0.85,3.21
104,0.86,2.60
105,0.87,2.04
106,0.88,5.03
107,0.88,5.31
108,0.89,5.58
109,0.90,3.71
110,0.91,2.07
111,0.92,1.53
112,0.93,1.90
113,0.93,2.91
114,0.94,5.33
115,0.95,4.78
116,0.96,0.84
117,0.97,3.00
118,0.98,5.39
119,0.98,1.15
120,0.99,5.68
121,1.00,3.88
122,1.01,1.63
123,1.02,4.78
124,1.02,1.05
125,1.03,5.44
126,1.04,2.31
127,1.05,3.31
128,1.06,1.50
129,1.07,4.43
130,1.07,2.63
131,1.08,3.42
132,1.09,5.88
133,1.10,5.04
134,1.11,1.40
135,1.12,5.66
136,1.12,5.15
137,1.13,3.22
138,1.14,4.06
139,1.15,5.06
140,1.16,5.55
141,1.17,5.54
142,1.17,2.20
143,1.18,5.61
144,1.19,4.05
145,1.20,2.28
146,1.21,5.90
147,1.21,5.68
148,1.22,1.04
149,1.23,5.55
150,1.24,4.00
151,1.25,0.98
152,1.26,4.76
153,1.26,1.83
154,1.27,5.86
155,1.28,2.83
156,1.29,1.72
157,1.30,5.31
158,1.31,4.87
159,1.31,2.28
160,1.32,5.48
161,1.33,3.89
162,1.34,4.82
163,1.35,4.57
164,1.36,5.79
165,1.36,3.80
166,1.37,3.77
167,1.38,3.21
168,1.39,2.64
169,1.40,1.28
170,1.40,1.05
171,1.41,4.23
172,1.42,1.98
173,1.43,2.43
174,1.44,3.73
175,1.45,5.98
176,1.45,2.00
177,1.46,4.72
178,1.47,3.43
179,1.48,5.98
180,1.49,2.14
181,1.50,1.16
182,1.50,5.45
183,1.51,3.70
184,1.52,3.57
185,1.53,3.76
186,1.54,2.74
187,1.55,2.81
188,1.55,5.05
189,1.56,5.53
190,1.57,3.71
191,1.58,2.68
192,1.59,1.14
193,1.60,2.31
194,1.60,5.81
195,1.61,4.04
196,1.62,4.40
197,1.63,2.80
198,1.64,4.02
199,1.64,2.52
200,1.65,3.83
201,1.66,3.29
202,1.67,3.20
203,1.68,3.99
204,1.69,5.57
205,1.69,3.40
206,1.70,2.56
207,1.71,2.82
208,1.72,3.25
209,1.73,3.83
210,1.74,1.67
211,1.74,2.00
212,1.75,2.78
213,1.76,3.51
214,1.77,4.22
215,1.78,4.35
216,1.79,2.37
217,1.79,4.51
218,1.80,3.44
219,1.81,4.82
220,1.82,3.84
221,1.83,2.13
222,1.83,3.06
223,1.84,2.89
224,1.85,4.07
225,1.86,4.80
226,1.87,5.94
227,1.88,2.96
228,1.88,5.02
229,1.89,1.84
230,1.90,2.73
231,1.91,3.02
232,1.92,2.79
233,1.93,3.11
234,1.93,4.49
235,1.94,4.66
236,1.95,5.78
237,1.96,5.13
238,1.97,4.26
239,1.98,2.48
240,1.98,1.36
241,1.99,3.99
242,2.00,1.67
243,2.01,3.71
244,2.02,2.80
245,2.02,1.06
246,2.03,1.87
247,2.04,2.73
248,2.05,4.72
249,2.06,2.51
250,2.07,2.48
251,2.07,5.04
252,2.08,4.50
253,2.09,4.96
254,2.10,4.32
255,2.11,3.68
256,2.12,4.43
257,2.12,4.15
258,2.13,4.25
259,2.14,5.68
260,2.15,1.96
261,2.16,3.51
262,2.17,2.68
263,2.17,5.54
264,2.18,4.20
265,2.19,3.32
266,2.20,3.55
267,2.21,1.40
268,2.21,5.25
269,2.22,2.60
270,2.23,2.75
271,2.24,5.69
272,2.25,3.32
273,2.26,3.70
274,2.26,3.13
275,2.27,1.67
276,2.28,3.13
277,2.29,3.08
278,2.30,0.90
279,2.31,2.75
280,2.31,1.22
281,2.32,3.18
282,2.33,4.61
283,2.34,2.81
284,2.35,2.73
285,2.36,5.16
286,2.36,1.98
287,2.37,5.64
288,2.38,2.28
289,2.39,3.02
290,2.40,2.28
291,2.40,4.80
292,2.41,4.98
293,2.42,4.87
294,2.43,4.13
295,2.44,3.71
296,2.45,4.80
297,2.45,4.51
298,2.46,5.54
299,2.47,4.91
300,2.48,5.58
301,2.49,2.07
302,2.50,4.86
303,2.50,3.97
304,2.51,4.46
305,2.52,5.01
306,2.53,5.22
307,2.54,2.30
308,2.55,4.27
309,2.55,4.65
310,2.56,4.82
311,2.57,3.18
312,2.58,4.62
313,2.59,3.25
314,2.60,2.71
315,2.60,1.11
316,2.61,2.12
317,2.62,2.13
318,2.63,1.05
319,2.64,4.24
320,2.64,1.23
321,2.65,4.90
322,2.66,5.35
323,2.67,2.06
324,2.68,3.36
325,2.69,0.47
326,2.69,5.06
327,2.70,3.26
328,2.71,2.86
329,2.72,0.93
330,2.73,1.72
331,2.74,4.78
332,2.74,3.38
333,2.75,3.89
334,2.76,3.81
335,2.77,3.76
336,2.78,3.96
337,2.79,4.50
338,2.79,5.05
339,2.80,3.64
340,2.81,5.25
341,2.82,4.91
342,2.83,4.10
343,2.83,4.22
344,2.84,3.52
345,2.85,3.02
346,2.86,0.85
347,2.87,1.69
348,2.88,2.72
349,2.88,4.25
350,2.89,3.49
351,2.90,5.03
352,2.91,2.97
353,2.92,4.80
354,2.93,4.83
355,2.93,2.58
356,2.94,2.45
357,2.95,2.35
358,2.96,2.29
359,2.97,3.93
360,2.98,2.17
361,2.98,4.94
362,2.99,2.22
363,3.00,0.17
364,3.01,1.24
365,3.02,0.65
366,3.02,4.43
367,3.03,2.44
368,3.04,3.54
369,3.05,2.21
370,3.06,2.45
371,3.07,2.57
372,3.07,4.97
373,3.08,0.67
374,3.09,3.26
375,3.10,0.69
376,3.11,1.18
377,3.12,3.13
378,3.12,1.49
379,3.13,4.76
380,3.14,0.92
381,3.15,1.08
382,3.16,4.47
383,3.17,3.85
384,3.17,0.78
385,3.18,1.71
386,3.19,2.78
387,3.20,1.80
388,3.21,1.75
389,3.21,2.68
390,3.22,4.58
391,3.23,4.44
392,3.24,2.80
393,3.25,2.75
394,3.26,0.57
