"Resumen de la Prueba"
"Parámetro","Valor"
"Nombre del archivo","de.csv"
"startTime","2025-07-30T22:25:47.955Z"
"durationLabel","10.00s"
"samplesPerSecondLabel","1 Hz"
"totalSamples","10"
"dominantRegimen","indeterminado"

"Estadísticas de la Prueba"
"Sensor","Media","Desv. Est.","Mín","Máx"
"Sensor 2","3.14","1.43","0.75","4.99"
"Sensor 5","1.92","2.07","-0.66","4.95"

"#RAW_HEADERS",time,sensor2,sensor5
"Datos Recolectados"
"Nº de Muestra","time","Sensor 2","Sensor 5"
1,1.00,2.81,4.95
2,2.00,4.53,-0.66
3,3.00,3.75,4.36
4,4.00,3.84,2.98
5,5.00,2.59,3.83
6,6.00,1.64,-0.42
7,7.00,0.75,2.43
8,8.00,4.63,0.27
9,9.00,4.99,0.19
10,10.00,1.90,1.24
