"Resumen de la Prueba"
"Parámetro","Valor"
"Nombre del archivo","dga.csv"
"startTime","2025-09-17T04:26:42.766Z"
"durationLabel","10.00s"
"samplesPerSecondLabel","10 Hz"
"totalSamples","101"
"dominantRegimen","indeterminado"

"Estadísticas de la Prueba"
"Sensor","Media","Desv. Est.","Mín","Máx"
"Sensor 1","2.64","1.59","-0.44","5.82"
"Sensor 2","2.70","1.55","-0.79","5.63"
"Sensor 3","2.44","1.55","-0.71","5.79"
"Sensor 4","2.63","1.64","-0.59","5.84"
"Sensor 5","2.49","1.55","-0.32","5.67"

"#RAW_HEADERS",time,sensor1,sensor2,sensor3,sensor4,sensor5
"Datos Recolectados"
"Nº de Muestra","time","Sensor 1","Sensor 2","Sensor 3","Sensor 4","Sensor 5"
1,0.10,3.57,0.37,0.34,4.48,1.44
2,0.20,4.59,4.80,2.38,3.65,3.71
3,0.30,3.84,1.84,1.98,5.65,3.14
4,0.40,5.20,3.65,5.54,1.19,4.62
5,0.50,3.89,5.28,3.82,4.00,4.43
6,0.60,4.41,3.80,1.60,3.51,2.26
7,0.70,3.36,1.18,3.09,5.03,0.06
8,0.80,0.73,3.07,3.87,0.52,3.12
9,0.90,1.88,1.86,0.96,2.84,1.22
10,1.00,4.62,2.07,2.47,2.64,2.04
11,1.10,5.82,4.18,2.82,-0.40,1.80
12,1.20,1.81,3.39,0.80,3.85,1.73
13,1.30,3.44,0.86,1.25,3.17,4.65
14,1.40,5.49,1.73,1.23,0.50,2.36
15,1.50,1.65,0.26,2.60,0.91,2.86
16,1.60,5.61,3.23,3.05,3.28,5.37
17,1.70,2.12,3.63,4.06,5.17,1.95
18,1.80,1.19,4.34,0.53,4.20,1.33
19,1.90,3.38,3.60,3.96,4.43,3.60
20,2.00,4.83,4.14,3.00,3.06,4.01
21,2.10,5.49,-0.79,0.41,2.66,1.00
22,2.20,5.38,3.56,2.44,4.05,1.64
23,2.30,1.85,1.17,4.80,3.99,-0.17
24,2.40,0.72,1.33,2.42,1.35,4.05
25,2.50,3.31,2.93,2.53,0.23,4.21
26,2.60,1.10,3.45,2.34,2.74,2.63
27,2.70,1.09,1.57,4.09,2.47,1.23
28,2.80,0.74,3.83,1.13,-0.21,3.70
29,2.90,4.46,-0.08,5.36,1.93,5.25
30,3.00,2.91,4.29,2.04,2.71,4.91
31,3.10,4.62,4.61,3.11,1.38,2.82
32,3.20,3.78,4.38,3.02,2.36,2.41
33,3.30,3.99,2.21,4.18,3.93,1.77
34,3.40,0.33,3.67,2.97,4.74,3.92
35,3.50,4.28,4.24,2.22,5.36,-0.21
36,3.60,-0.44,3.16,3.89,5.25,4.03
37,3.70,1.69,5.54,2.68,1.20,2.07
38,3.80,1.85,4.26,2.63,1.62,0.94
39,3.90,4.13,2.48,-0.03,2.43,2.77
40,4.00,0.01,3.32,1.28,4.08,2.79
41,4.10,2.68,2.01,1.85,4.30,5.23
42,4.20,-0.44,2.18,3.17,0.15,3.84
43,4.30,1.55,2.45,2.69,0.39,1.56
44,4.40,3.79,5.02,0.74,3.39,2.13
45,4.50,0.97,4.38,1.73,-0.59,-0.32
46,4.60,1.32,3.69,1.03,4.11,3.96
47,4.70,0.24,1.00,1.28,4.68,0.12
48,4.80,0.58,2.97,1.74,5.29,3.55
49,4.90,2.07,-0.02,5.43,1.32,2.50
50,5.00,2.92,2.98,5.33,1.47,-0.06
51,5.10,1.38,3.15,3.00,3.70,0.86
52,5.20,-0.32,0.66,1.13,3.15,1.36
53,5.30,0.79,2.93,3.75,0.87,1.98
54,5.40,3.67,-0.11,-0.26,2.64,3.30
55,5.50,2.07,-0.15,2.75,4.12,2.28
56,5.60,4.37,3.73,1.15,2.46,1.88
57,5.70,3.23,1.75,0.98,3.10,4.72
58,5.80,4.07,0.06,-0.42,0.06,-0.12
59,5.90,4.13,1.00,-0.71,1.96,3.82
60,6.00,2.33,0.99,0.86,1.09,2.39
61,6.10,1.65,3.09,0.57,-0.35,1.62
62,6.20,1.61,3.31,3.27,3.07,1.15
63,6.30,1.39,1.12,4.62,4.72,0.12
64,6.40,0.82,2.24,0.40,3.63,0.64
65,6.50,1.09,3.10,4.46,2.99,1.34
66,6.60,3.44,4.34,0.94,4.78,5.63
67,6.70,2.29,1.44,1.41,4.41,3.18
68,6.80,1.84,5.63,2.60,1.56,0.57
69,6.90,4.60,3.46,4.36,2.61,4.40
70,7.00,2.21,4.59,4.49,0.52,1.54
71,7.10,1.91,4.01,3.16,3.77,3.94
72,7.20,3.02,3.60,4.13,0.80,3.72
73,7.30,1.92,2.68,0.58,2.67,0.39
74,7.40,1.53,1.35,2.64,0.53,2.53
75,7.50,2.24,4.27,2.37,1.22,2.71
76,7.60,3.70,4.31,1.19,-0.30,1.82
77,7.70,2.68,5.04,0.60,0.12,1.24
78,7.80,1.91,3.58,2.18,0.81,2.67
79,7.90,2.20,4.48,3.64,4.18,1.61
80,8.00,2.57,4.13,0.68,2.00,3.00
81,8.10,4.79,-0.01,3.51,4.36,5.14
82,8.20,1.60,4.09,4.29,1.26,3.59
83,8.30,2.37,1.58,4.37,5.84,4.27
84,8.40,2.05,2.59,0.60,1.69,3.26
85,8.50,1.92,3.73,2.80,3.94,-0.23
86,8.60,5.52,3.84,5.28,4.67,1.06
87,8.70,3.04,0.34,2.04,2.55,1.78
88,8.80,5.39,0.78,4.73,3.71,4.88
89,8.90,5.22,2.16,5.79,0.39,3.53
90,9.00,1.08,1.71,2.22,3.35,2.79
91,9.10,0.41,1.40,1.51,1.11,5.67
92,9.20,3.34,3.23,3.90,2.87,3.16
93,9.30,1.22,-0.16,2.87,1.11,2.82
94,9.40,2.67,1.68,2.86,3.77,2.84
95,9.50,3.69,4.19,4.10,0.73,0.59
96,9.60,3.85,0.42,0.01,2.04,-0.05
97,9.70,-0.15,0.97,2.58,3.82,0.78
98,9.80,1.29,4.13,2.66,1.13,2.57
99,9.90,3.31,1.94,1.98,4.27,1.83
100,10.00,2.06,3.82,-0.56,3.05,4.61
101,10.00,2.95,3.12,0.96,2.86,0.74
