"Resumen de la Prueba"
"Parámetro","Valor"
"Nombre del archivo","ds.csv"
"startTime","2025-09-18T17:47:53.368Z"
"durationLabel","4.91s"
"samplesPerSecondLabel","150 Hz"
"totalSamples","736"
"dominantRegimen","TRANSITION"

"Estadísticas de la Prueba"
"Sensor","Media","Desv. Est.","Mín","Máx"
"Sensor 1","2.62","1.59","-0.79","5.84"

"#RAW_HEADERS",time,sensor1
"Datos Recolectados"
"Nº de Muestra","time","Sensor 1"
1,0.01,4.81
2,0.01,4.62
3,0.02,3.40
4,0.03,4.08
5,0.03,1.59
6,0.04,2.41
7,0.05,3.47
8,0.05,0.09
9,0.06,1.06
10,0.07,4.59
11,0.07,4.97
12,0.08,1.33
13,0.09,2.62
14,0.09,3.31
15,0.10,0.42
16,0.11,2.74
17,0.11,1.53
18,0.12,1.53
19,0.13,2.06
20,0.13,2.96
21,0.14,1.52
22,0.15,4.10
23,0.15,5.09
24,0.16,0.41
25,0.17,1.18
26,0.17,4.00
27,0.18,1.64
28,0.19,2.50
29,0.19,4.93
30,0.20,1.95
31,0.21,1.02
32,0.21,1.80
33,0.22,3.20
34,0.23,4.07
35,0.23,0.70
36,0.24,0.71
37,0.25,4.49
38,0.25,4.27
39,0.26,0.42
40,0.27,2.30
41,0.27,4.46
42,0.28,4.39
43,0.29,3.91
44,0.29,5.07
45,0.30,1.98
46,0.31,2.82
47,0.31,1.45
48,0.32,1.02
49,0.33,4.80
50,0.33,0.93
51,0.34,3.52
52,0.35,0.62
53,0.35,3.38
54,0.36,3.25
55,0.37,2.69
56,0.37,4.15
57,0.38,2.03
58,0.39,5.24
59,0.39,0.60
60,0.40,0.77
61,0.41,3.91
62,0.41,4.90
63,0.42,4.46
64,0.43,3.17
65,0.43,4.55
66,0.44,2.56
67,0.45,2.21
68,0.45,5.44
69,0.46,1.95
70,0.47,2.02
71,0.47,4.78
72,0.48,2.49
73,0.49,0.73
74,0.49,4.96
75,0.50,1.79
76,0.51,3.99
77,0.51,2.33
78,0.52,1.59
79,0.53,2.62
80,0.53,4.09
81,0.54,5.37
82,0.55,4.83
