"Resumen de la Prueba"
"Parámetro","Valor"
"Nombre del archivo","dsa.csv"
"startTime","2025-09-15T03:43:28.235Z"
"durationLabel","9.32s"
"samplesPerSecondLabel","25 Hz"
"totalSamples","233"

"Estadísticas de la Prueba"
"Sensor","Media","Desv. Est.","Mín","Máx"
"Sensor 1","2.78","1.58","-0.73","5.92"
"Sensor 2","2.51","1.60","-0.98","5.67"
"Sensor 3","2.71","1.67","-0.70","5.94"

"#RAW_HEADERS",time,sensor1,sensor2,sensor3
"Datos Recolectados"
"Nº de Muestra","time","Sensor 1","Sensor 2","Sensor 3"
1,0.04,3.50,4.97,1.16
2,0.08,4.03,4.16,4.09
3,0.12,5.04,2.95,1.68
4,0.16,5.09,5.31,5.37
5,0.20,4.70,1.89,5.39
6,0.24,1.13,0.73,5.62
7,0.28,2.76,1.16,1.76
8,0.32,0.56,1.47,5.49
9,0.36,5.01,5.36,5.45
10,0.40,4.66,3.03,2.08
11,0.44,1.20,1.53,4.28
12,0.48,2.59,3.82,3.63
13,0.52,2.80,4.47,2.84
14,0.56,3.52,3.95,3.13
15,0.60,3.42,1.45,2.83
16,0.64,0.92,4.42,4.83
17,0.68,2.11,5.32,0.94
18,0.72,3.57,5.30,2.55
19,0.76,1.16,3.52,4.73
20,0.80,2.73,3.25,5.31
21,0.84,2.61,3.19,4.58
22,0.88,3.68,5.67,4.14
23,0.92,1.49,1.56,0.67
24,0.96,5.48,5.60,1.53
25,1.00,4.06,3.52,1.76
26,1.04,0.99,2.56,0.71
27,1.08,4.74,3.36,4.64
28,1.12,5.15,2.92,2.98
29,1.16,5.71,3.58,1.80
30,1.20,2.75,1.61,0.57
31,1.24,4.24,3.98,2.32
32,1.28,2.73,4.11,1.69
33,1.32,5.36,2.02,-0.36
34,1.36,5.63,1.82,3.21
35,1.40,2.33,3.10,1.62
36,1.44,1.68,4.09,0.62
37,1.48,5.08,3.07,3.96
38,1.52,1.67,0.27,0.15
39,1.56,1.50,1.65,1.15
40,1.60,1.77,0.09,0.92
41,1.64,4.35,1.10,0.14
42,1.68,2.60,4.74,1.37
43,1.72,4.40,3.70,3.25
44,1.76,1.86,0.18,0.69
45,1.80,2.93,0.91,1.46
46,1.84,2.68,1.05,1.77
47,1.88,2.28,2.04,0.07
48,1.92,3.96,2.32,1.93
49,1.96,5.28,1.97,2.49
50,2.00,4.32,3.47,2.65
51,2.04,3.05,4.08,0.01
52,2.08,5.82,2.38,1.47
53,2.12,3.26,0.52,2.77
54,2.16,3.98,-0.50,1.65
55,2.20,3.14,2.79,1.56
56,2.24,0.96,2.41,3.28
57,2.28,3.30,1.42,4.86
58,2.32,2.03,2.58,4.95
59,2.36,5.54,0.97,4.37
60,2.40,1.46,3.96,3.53
61,2.44,5.00,-0.02,5.53
62,2.48,2.19,0.66,5.83
63,2.52,5.33,1.18,5.55
64,2.56,3.91,3.86,2.47
65,2.60,2.93,-0.53,3.08
66,2.64,2.71,3.61,2.92
67,2.68,2.84,3.04,5.94
68,2.72,4.95,2.59,4.91
69,2.76,5.09,1.05,4.22
70,2.80,1.32,1.52,2.44
71,2.84,1.95,0.09,3.00
72,2.88,2.07,2.41,1.70
73,2.92,1.63,-0.02,1.94
74,2.96,1.95,1.54,4.34
75,3.00,0.50,4.64,2.29
76,3.04,4.89,2.74,4.26
77,3.08,0.52,0.98,3.56
78,3.12,2.98,0.46,3.46
79,3.16,1.33,4.36,3.60
80,3.20,1.50,2.17,3.75
81,3.24,1.46,2.92,0.09
82,3.28,3.44,3.29,-0.10
83,3.32,4.34,4.95,2.20
84,3.36,4.28,4.37,1.28
85,3.40,4.66,2.07,3.09
86,3.44,4.42,4.32,-0.43
87,3.48,3.90,2.31,0.62
88,3.52,0.64,5.43,3.14
89,3.56,4.45,0.78,2.90
90,3.60,3.46,4.18,4.02
91,3.64,4.41,5.15,3.79
92,3.68,-0.50,5.16,1.15
93,3.72,4.30,3.28,3.04
94,3.76,-0.58,1.75,2.60
95,3.80,3.56,4.99,1.91
96,3.84,2.95,3.13,0.71
97,3.88,2.08,4.76,-0.69
98,3.92,3.58,5.25,0.80
99,3.96,1.65,5.57,3.66
100,4.00,-0.73,4.17,1.62
101,4.04,0.32,3.92,2.62
102,4.08,2.74,3.70,1.34
103,4.12,0.12,3.88,-0.13
104,4.16,3.04,2.83,2.29
105,4.20,2.12,4.16,1.47
106,4.24,3.29,1.89,1.41
107,4.28,2.74,3.60,4.52
108,4.32,0.37,3.67,5.20
109,4.36,2.00,0.75,3.38
110,4.40,-0.52,0.62,5.12
111,4.44,3.79,3.61,4.87
112,4.48,3.66,5.37,1.89
113,4.52,3.53,3.86,3.12
114,4.56,-0.40,1.22,5.54
115,4.60,1.61,2.75,5.13
116,4.64,0.08,0.88,4.74
117,4.68,1.19,2.75,5.17
118,4.72,2.23,3.49,2.10
