"Resumen de la Prueba"
"Parámetro","Valor"
"Nombre del archivo","fds.csv"
"startTime","2025-07-30T22:32:03.386Z"
"durationLabel","10.00s"
"samplesPerSecondLabel","1 Hz"
"totalSamples","10"
"dominantRegimen","indeterminado"

"Estadísticas de la Prueba"
"Sensor","Media","Desv. Est.","Mín","Máx"
"Sensor 4","3.48","1.30","1.10","5.62"
"Sensor 5","2.44","1.74","0.39","5.73"

"#RAW_HEADERS",time,sensor4,sensor5
"Datos Recolectados"
"Nº de Muestra","time","Sensor 4","Sensor 5"
1,1.00,4.06,5.16
2,2.00,4.11,1.81
3,3.00,4.07,0.39
4,4.00,3.89,1.18
5,5.00,2.71,1.95
6,6.00,1.10,1.38
7,7.00,4.41,5.73
8,8.00,5.62,1.28
9,9.00,2.58,2.84
10,10.00,2.29,2.69
