"Resumen de la Prueba"
"Parámetro","Valor"
"Nombre del archivo","ghg.csv"
"startTime","2025-09-15T03:36:55.856Z"
"durationLabel","10.00s"
"samplesPerSecondLabel","1 Hz"
"totalSamples","10"

"Estadísticas de la Prueba"
"Sensor","Media","Desv. Est.","Mín","Máx"
"Sensor 1","3.60","1.31","0.84","5.21"
"Sensor 2","3.33","1.46","0.42","5.47"
"Sensor 3","2.48","1.58","-0.40","5.36"

"#RAW_HEADERS",time,sensor1,sensor2,sensor3
"Datos Recolectados"
"Nº de Muestra","time","Sensor 1","Sensor 2","Sensor 3"
1,1.00,3.80,4.40,1.26
2,2.00,1.91,0.42,2.02
3,3.00,4.33,4.09,5.36
4,4.00,3.77,3.88,3.88
5,5.00,3.88,4.18,1.56
6,6.00,4.08,3.27,-0.40
7,7.00,0.84,5.47,2.89
8,8.00,5.21,3.41,2.75
9,9.00,4.82,1.75,2.05
10,10.00,3.39,2.41,3.38
