"Test Summary"
"Parameter","Value"
"File name","kk.csv"
"startTime","2025-09-17T04:25:20.990Z"
"durationLabel","10.00s"
"samplesPerSecondLabel","150 Hz"
"totalSamples","1501"
"dominantRegimen","TRANSITION"

"Test Statistics"
"Sensor","Mean","Std. Dev.","Min","Max"
"Sensor 2","2.68","1.60","-0.96","5.96"

"#RAW_HEADERS",time,sensor2
"Collected Data"
"Sample No.","time","Sensor 2"
1,0.01,4.37
2,0.01,1.14
3,0.02,0.24
4,0.03,4.62
5,0.03,0.86
6,0.04,0.17
7,0.05,1.48
8,0.05,3.58
9,0.06,4.77
10,0.07,0.44
11,0.07,2.90
12,0.08,3.40
13,0.09,3.33
14,0.09,2.38
15,0.10,2.63
16,0.11,4.36
17,0.11,1.72
18,0.12,0.19
19,0.13,1.75
20,0.13,3.58
21,0.14,2.00
22,0.15,0.65
23,0.15,3.46
24,0.16,1.85
25,0.17,2.17
26,0.17,1.23
27,0.18,2.14
28,0.19,3.53
29,0.19,3.00
30,0.20,4.89
31,0.21,2.69
32,0.21,0.54
33,0.22,0.72
34,0.23,1.46
35,0.23,4.18
36,0.24,3.00
37,0.25,3.12
38,0.25,0.69
39,0.26,5.15
40,0.27,4.75
41,0.27,4.47
42,0.28,2.45
43,0.29,2.20
44,0.29,0.76
45,0.30,4.82
46,0.31,1.24
47,0.31,3.73
48,0.32,0.63
49,0.33,0.63
50,0.33,1.01
51,0.34,3.29
52,0.35,4.76
53,0.35,1.72
54,0.36,2.16
55,0.37,0.57
56,0.37,3.64
57,0.38,1.81
58,0.39,2.63
59,0.39,3.08
60,0.40,2.79
61,0.41,1.13
62,0.41,1.55
63,0.42,4.34
64,0.43,0.45
65,0.43,0.65
66,0.44,1.00
67,0.45,4.32
68,0.45,4.49
69,0.46,2.24
70,0.47,0.54
71,0.47,3.45
72,0.48,4.45
73,0.49,4.68
74,0.49,1.83
75,0.50,5.22
76,0.51,2.49
77,0.51,5.29
78,0.52,0.90
79,0.53,1.43
80,0.53,4.83
81,0.54,3.96
82,0.55,4.29
83,0.55,4.98
84,0.56,5.31
85,0.57,4.80
86,0.57,1.95
87,0.58,3.69
88,0.59,3.74
89,0.59,4.71
90,0.60,2.24
91,0.61,5.36
92,0.61,0.79
93,0.62,5.05
94,0.63,5.07
95,0.63,3.13
96,0.64,2.80
97,0.65,4.31
98,0.65,1.78
99,0.66,2.26
100,0.67,4.68
101,0.67,3.24
102,0.68,5.62
103,0.69,1.05
104,0.69,2.27
105,0.70,1.92
106,0.71,1.07
107,0.71,4.03
108,0.72,2.83
109,0.73,4.61
110,0.73,1.97
111,0.74,2.77
112,0.75,2.76
113,0.75,5.03
114,0.76,5.12
115,0.77,3.62
116,0.77,3.59
117,0.78,0.91
118,0.79,3.02
119,0.79,1.46
120,0.80,2.59
121,0.81,1.16
122,0.81,2.86
123,0.82,1.59
124,0.83,1.23
125,0.83,0.95
126,0.84,5.57
127,0.85,2.43
128,0.85,1.61
129,0.86,3.02
130,0.87,1.60
131,0.87,2.22
132,0.88,2.96
133,0.89,5.35
134,0.89,4.02
135,0.90,3.78
136,0.91,3.17
137,0.91,1.36
138,0.92,1.60
139,0.93,5.68
140,0.93,1.16
141,0.94,1.26
142,0.95,5.53
143,0.95,5.30
144,0.96,3.24
145,0.97,1.59
146,0.97,4.25
147,0.98,4.54
148,0.99,2.19
149,0.99,3.34
150,1.00,5.62
151,1.01,1.34
152,1.01,2.01
153,1.02,4.88
154,1.03,1.95
155,1.03,5.74
156,1.04,0.89
157,1.05,4.50
158,1.05,5.29
159,1.06,2.56
160,1.07,5.45
161,1.07,3.19
162,1.08,4.72
163,1.09,2.64
164,1.09,5.11
165,1.10,0.97
166,1.11,2.25
167,1.11,2.82
168,1.12,2.06
169,1.13,3.65
170,1.13,4.20
171,1.14,4.69
172,1.15,1.79
173,1.15,4.26
174,1.16,3.84
175,1.17,4.54
176,1.17,3.81
177,1.18,2.84
178,1.19,2.06
179,1.19,4.99
180,1.20,2.88
181,1.21,4.23
182,1.21,1.21
183,1.22,3.25
184,1.23,4.72
185,1.23,5.57
186,1.24,1.91
187,1.25,0.96
188,1.25,5.62
189,1.26,3.49
190,1.27,1.19
191,1.27,1.58
192,1.28,4.76
193,1.29,0.97
194,1.29,3.79
195,1.30,1.30
196,1.31,4.32
197,1.31,3.53
198,1.32,5.41
199,1.33,5.22
200,1.33,1.50
201,1.34,1.67
202,1.35,5.59
203,1.35,3.86
204,1.36,1.53
205,1.37,2.93
206,1.37,1.46
207,1.38,1.79
208,1.39,3.05
209,1.39,4.39
210,1.40,2.45
211,1.41,2.45
212,1.41,3.90
213,1.42,4.76
214,1.43,5.27
215,1.43,2.28
216,1.44,5.51
217,1.45,3.09
218,1.45,5.53
219,1.46,5.23
220,1.47,1.40
221,1.47,5.42
222,1.48,3.19
223,1.49,2.61
224,1.49,1.75
225,1.50,4.27
226,1.51,3.51
227,1.51,4.89
228,1.52,2.94
229,1.53,2.60
230,1.53,4.44
231,1.54,3.23
232,1.55,5.62
233,1.55,3.12
234,1.56,3.59
235,1.57,5.21
236,1.57,4.72
237,1.58,2.41
238,1.59,5.10
239,1.59,4.03
240,1.60,4.28
241,1.61,4.08
242,1.61,3.19
243,1.62,1.97
244,1.63,3.29
245,1.63,5.66
246,1.64,4.70
247,1.65,2.37
248,1.65,4.01
249,1.66,5.41
250,1.67,4.17
251,1.67,5.50
252,1.68,1.14
253,1.69,4.14
254,1.69,5.60
255,1.70,3.07
256,1.71,4.00
257,1.71,5.43
258,1.72,1.52
259,1.73,4.56
260,1.73,3.58
261,1.74,0.99
262,1.75,5.52
263,1.75,1.24
264,1.76,4.92
265,1.77,1.58
266,1.77,1.49
267,1.78,1.52
268,1.79,2.66
269,1.79,4.43
270,1.80,3.77
271,1.81,1.47
272,1.81,5.87
273,1.82,2.61
274,1.83,2.72
275,1.83,4.33
276,1.84,2.57
277,1.85,3.12
278,1.85,5.17
279,1.86,5.43
280,1.87,3.67
281,1.87,5.41
282,1.88,4.80
283,1.89,2.19
284,1.89,2.22
285,1.90,4.47
286,1.91,3.92
287,1.91,1.99
288,1.92,3.43
289,1.93,5.54
290,1.93,3.35
291,1.94,5.76
292,1.95,5.21
293,1.95,5.73
294,1.96,5.28
295,1.97,2.03
296,1.97,3.87
297,1.98,1.38
298,1.99,2.39
299,1.99,2.68
300,2.00,2.84
301,2.01,3.33
302,2.01,4.66
303,2.02,4.71
304,2.03,4.54
305,2.03,3.09
306,2.04,4.19
307,2.05,3.17
308,2.05,3.56
309,2.06,3.51
310,2.07,3.58
311,2.07,4.86
312,2.08,1.86
313,2.09,3.02
314,2.09,1.11
315,2.10,3.63
316,2.11,5.63
317,2.11,2.55
318,2.12,4.54
319,2.13,5.02
320,2.13,4.91
321,2.14,4.38
322,2.15,0.98
323,2.15,2.75
324,2.16,1.12
325,2.17,4.22
326,2.17,5.26
327,2.18,2.99
328,2.19,2.41
329,2.19,2.66
330,2.20,4.53
331,2.21,2.32
332,2.21,3.84
333,2.22,1.57
334,2.23,5.30
335,2.23,1.90
336,2.24,2.20
337,2.25,4.54
338,2.25,3.96
339,2.26,3.39
340,2.27,1.01
341,2.27,2.70
342,2.28,3.67
343,2.29,2.88
344,2.29,2.82
345,2.30,1.29
346,2.31,1.38
347,2.31,2.99
348,2.32,1.22
349,2.33,2.55
350,2.33,4.85
351,2.34,3.39
352,2.35,1.57
353,2.35,4.10
354,2.36,5.56
355,2.37,1.17
356,2.37,2.05
357,2.38,4.56
358,2.39,4.96
359,2.39,1.25
360,2.40,1.59
361,2.41,4.21
362,2.41,4.91
363,2.42,1.30
364,2.43,1.68
365,2.43,4.55
366,2.44,3.95
367,2.45,5.27
368,2.45,5.45
369,2.46,2.21
370,2.47,2.86
371,2.47,2.28
372,2.48,2.00
373,2.49,3.10
374,2.49,5.41
375,2.50,4.59
376,2.51,2.40
377,2.51,4.35
378,2.52,3.27
379,2.53,5.27
380,2.53,4.70
381,2.54,3.01
382,2.55,3.75
383,2.55,4.67
384,2.56,3.86
385,2.57,5.21
386,2.57,1.53
