"Resumen de la Prueba"
"Parámetro","Valor"
"Nombre del archivo","kkj.csv"
"startTime","2025-07-30T22:14:05.088Z"
"durationLabel","10.00s"
"samplesPerSecondLabel","1 Hz"
"totalSamples","10"
"dominantRegimen","indeterminado"

"Estadísticas de la Prueba"
"Sensor","Media","Desv. Est.","Mín","Máx"
"Sensor 3","2.16","1.83","-0.08","5.01"

"#RAW_HEADERS",time,sensor3
"Datos Recolectados"
"Nº de Muestra","time","Sensor 3"
1,1.00,5.01
2,2.00,0.97
3,3.00,0.18
4,4.00,-0.08
5,5.00,0.55
6,6.00,4.11
7,7.00,2.36
8,8.00,3.79
9,9.00,1.23
10,10.00,3.48
