"Resumen de la Prueba"
"Parámetro","Valor"
"Nombre del archivo","medi.csv"
"startTime","2025-07-05T00:03:50.075Z"
"durationLabel","10.00s"
"samplesPerSecondLabel","1 Hz"
"dominantRegimen","turbulento"

"Estadísticas de la Prueba"
"Sensor","Media","Desv. Est.","Mín","Máx"
"Sensor 1","2.87","1.43","1.11","5.35"
"Sensor 2","2.49","1.40","-0.24","3.89"

"#RAW_HEADERS",time,sensor1,sensor2,regimen
"Datos Recolectados"
"Nº de Muestra","time","Sensor 1","Sensor 2","Régimen de Flujo"
1,0.00,1.11,3.47,"turbulento"
2,1.00,2.16,3.61,"turbulento"
3,2.00,4.55,-0.24,"turbulento"
4,3.00,1.22,1.84,"flujo laminar"
5,4.00,2.26,1.47,"turbulento"
6,5.00,3.75,2.97,"turbulento"
7,6.00,2.98,3.85,"flujo laminar"
8,7.00,5.35,3.89,"flujo laminar"
9,8.00,3.43,1.03,"flujo laminar"
10,9.00,3.67,1.71,"flujo laminar"
11,10.00,1.12,3.75,"turbulento"
