"Resumen de la Prueba"
"Parámetro","Valor"
"Nombre del archivo","medicion75.csv"
"startTime","2025-09-17T02:10:48.263Z"
"durationLabel","4.53s"
"samplesPerSecondLabel","150 Hz"
"totalSamples","679"
"dominantRegimen","TRANSITION"

"Estadísticas de la Prueba"
"Sensor","Media","Desv. Est.","Mín","Máx"
"Sensor 1","2.88","1.59","-0.73","5.96"

"#RAW_HEADERS",time,sensor1
"Datos Recolectados"
"Nº de Muestra","time","Sensor 1"
1,0.01,3.10
2,0.01,1.42
3,0.02,3.55
4,0.03,2.91
5,0.03,2.48
6,0.04,2.67
7,0.05,0.37
8,0.05,2.88
9,0.06,2.47
10,0.07,4.72
11,0.07,0.71
12,0.08,4.75
13,0.09,3.15
14,0.09,3.62
15,0.10,3.68
16,0.11,1.83
17,0.11,1.46
18,0.12,4.58
19,0.13,1.16
20,0.13,1.62
21,0.14,1.40
22,0.15,5.12
23,0.15,0.66
24,0.16,2.26
25,0.17,2.10
26,0.17,3.07
27,0.18,3.07
28,0.19,2.31
29,0.19,3.94
30,0.20,4.04
31,0.21,2.06
32,0.21,5.09
33,0.22,2.76
34,0.23,0.34
35,0.23,2.75
36,0.24,1.91
37,0.25,3.48
38,0.25,0.60
39,0.26,4.86
40,0.27,1.31
41,0.27,0.59
42,0.28,3.82
43,0.29,0.66
44,0.29,0.67
45,0.30,2.86
46,0.31,2.10
47,0.31,2.31
48,0.32,4.77
49,0.33,3.59
50,0.33,1.68
51,0.34,3.98
52,0.35,1.92
53,0.35,1.52
54,0.36,3.56
55,0.37,3.94
56,0.37,5.15
57,0.38,2.49
58,0.39,3.16
59,0.39,4.79
60,0.40,2.82
61,0.41,5.35
62,0.41,3.31
63,0.42,0.55
64,0.43,0.99
65,0.43,0.43
66,0.44,2.15
67,0.45,2.51
68,0.45,1.94
69,0.46,2.13
70,0.47,2.53
71,0.47,1.99
72,0.48,1.74
73,0.49,5.30
74,0.49,3.72
75,0.50,5.25
76,0.51,3.25
77,0.51,3.29
78,0.52,1.77
79,0.53,3.58
80,0.53,5.06
81,0.54,0.65
82,0.55,2.10
83,0.55,4.85
84,0.56,1.56
85,0.57,3.85
