"Resumen de la Prueba"
"Parámetro","Valor"
"Nombre del archivo","medicion_01.csv"
"startTime","2025-09-16T19:22:46.737Z"
"durationLabel","10.00s"
"samplesPerSecondLabel","1 Hz"
"totalSamples","10"
"dominantRegimen","indeterminado"

"Estadísticas de la Prueba"
"Sensor","Media","Desv. Est.","Mín","Máx"
"Sensor 1","1.94","1.60","-0.19","4.50"

"#RAW_HEADERS",time,sensor1
"Datos Recolectados"
"Nº de Muestra","time","Sensor 1"
1,1.00,0.94
2,2.00,4.01
3,3.00,1.92
4,4.00,-0.19
5,5.00,3.59
6,6.00,4.50
7,7.00,0.85
8,8.00,2.23
9,9.00,0.62
10,10.00,0.94
