"Resumen de la Prueba"
"Parámetro","Valor"
"Nombre del archivo","medicion_012.csv"
"startTime","2025-09-16T06:31:10.679Z"
"durationLabel","10.00s"
"samplesPerSecondLabel","1 Hz"
"totalSamples","10"
"dominantRegimen","indeterminado"

"Estadísticas de la Prueba"
"Sensor","Media","Desv. Est.","Mín","Máx"
"Sensor 1","3.45","1.70","0.96","5.77"

"#RAW_HEADERS",time,sensor1
"Datos Recolectados"
"Nº de Muestra","time","Sensor 1"
1,1.00,5.77
2,2.00,2.91
3,3.00,4.51
4,4.00,3.73
5,5.00,0.96
6,6.00,3.14
7,7.00,1.84
8,8.00,5.19
9,9.00,5.10
10,10.00,1.32
