"Resumen de la Prueba"
"Parámetro","Valor"
"Nombre del archivo","medicion_012.csv"
"startTime","2025-07-04T23:31:11.455Z"
"durationLabel","10.00s"
"samplesPerSecondLabel","1 Hz"

"Estadísticas de la Prueba"
"Sensor","Media","Desv. Est.","Mín","Máx"
"Sensor 1","2.92","1.70","0.95","5.95"
"Sensor 2","2.18","1.28","-0.10","4.31"
"Sensor 4","2.24","1.62","0.32","5.80"

"#RAW_HEADERS",time,sensor1,sensor2,sensor4,regimen
"Datos Recolectados"
"Nº de Muestra","time","Sensor 1","Sensor 2","Sensor 4","Régimen de Flujo"
1,0.00,3.83,1.11,1.73,"en la frontera"
2,1.00,5.01,1.37,0.83,"en la frontera"
3,2.00,2.35,1.84,2.60,"turbulento"
4,3.00,1.49,2.49,0.80,"flujo laminar"
5,4.00,0.95,1.68,0.32,"en la frontera"
6,5.00,3.11,3.94,3.58,"en la frontera"
7,6.00,4.57,3.04,2.93,"turbulento"
8,7.00,1.18,4.31,2.98,"en la frontera"
9,8.00,5.95,-0.10,0.66,"turbulento"
10,9.00,1.70,1.63,5.80,"en la frontera"
11,10.00,2.00,2.67,2.39,"turbulento"
