"Resumen de la Prueba"
"Parámetro","Valor"
"Nombre del archivo","medicion_017.csv"
"startTime","2025-09-16T06:44:30.545Z"
"durationLabel","6.20s"
"samplesPerSecondLabel","150 Hz"
"totalSamples","930"
"dominantRegimen","indeterminado"

"Estadísticas de la Prueba"
"Sensor","Media","Desv. Est.","Mín","Máx"
"Sensor 1","2.40","1.65","-0.93","5.95"
"Sensor 2","2.57","1.56","-0.99","5.97"
"Sensor 3","2.53","1.65","-0.99","5.93"
"Sensor 4","2.54","1.60","-0.91","5.98"
"Sensor 5","2.54","1.61","-0.88","5.79"

"#RAW_HEADERS",time,sensor1,sensor2,sensor3,sensor4,sensor5
"Datos Recolectados"
"Nº de Muestra","time","Sensor 1","Sensor 2","Sensor 3","Sensor 4","Sensor 5"
1,0.01,3.78,2.68,1.33,1.33,2.62
2,0.01,2.32,4.06,4.32,4.50,3.08
3,0.02,0.06,3.11,0.20,1.73,0.79
4,0.03,2.85,4.13,1.29,1.58,0.36
5,0.03,2.06,0.13,3.39,3.75,2.54
6,0.04,2.82,1.29,2.97,2.88,1.65
7,0.05,0.38,1.05,1.90,1.02,4.33
8,0.05,0.93,2.21,4.59,0.53,1.94
9,0.06,3.88,3.57,4.26,0.42,1.17
10,0.07,4.75,4.47,2.81,1.92,2.97
11,0.07,4.28,0.82,2.61,4.20,2.84
12,0.08,0.42,4.29,1.18,4.67,2.02
13,0.09,3.24,4.37,0.56,4.66,1.83
14,0.09,4.16,3.33,1.92,1.30,1.21
15,0.10,4.68,3.44,4.39,3.26,5.43
16,0.11,3.31,2.34,1.07,4.48,5.46
17,0.11,1.18,3.27,1.32,2.38,5.13
18,0.12,4.90,4.70,0.66,1.31,3.58
19,0.13,1.76,1.48,3.58,3.83,2.55
20,0.13,4.83,2.27,4.38,2.63,1.27
21,0.14,1.40,2.65,3.16,5.02,2.07
22,0.15,2.16,4.84,3.06,2.59,4.50
23,0.15,0.21,3.82,4.94,1.39,4.98
24,0.16,3.42,3.10,4.11,3.46,2.54
25,0.17,0.22,5.14,4.69,1.79,3.14
26,0.17,3.93,4.61,4.13,2.28,2.04
27,0.18,2.44,0.86,5.14,4.26,1.63
28,0.19,4.36,2.80,4.17,4.08,1.19
29,0.19,1.74,0.98,1.95,5.38,4.50
30,0.20,3.24,1.63,5.32,4.63,1.05
31,0.21,3.11,4.05,4.30,1.68,4.44
32,0.21,2.51,3.02,2.53,1.72,2.88
33,0.22,0.31,1.91,5.46,5.77,1.05
34,0.23,4.19,3.80,4.00,5.13,1.08
35,0.23,4.09,4.64,5.64,1.77,5.70
36,0.24,0.99,2.48,3.60,1.26,1.83
37,0.25,1.44,4.76,4.56,1.83,2.71
38,0.25,0.65,1.00,0.78,5.02,3.12
39,0.26,1.47,3.10,3.76,4.44,1.50
40,0.27,0.43,0.67,2.04,4.33,3.37
41,0.27,0.76,5.51,2.82,2.26,4.84
42,0.28,3.75,4.86,3.38,2.49,3.95
43,0.29,2.66,2.52,4.60,3.80,1.32
44,0.29,2.22,5.38,5.02,2.31,5.35
45,0.30,4.86,3.11,1.65,2.35,5.78
46,0.31,2.11,4.17,4.61,1.87,5.72
47,0.31,4.88,1.94,2.43,4.95,1.53
48,0.32,2.57,1.32,3.68,5.84,5.26
49,0.33,1.88,4.31,1.81,2.88,2.94
50,0.33,4.56,4.95,3.93,1.21,5.20
51,0.34,0.75,4.37,5.43,2.24,2.56
52,0.35,3.20,4.74,4.12,4.43,5.74
53,0.35,3.24,3.62,2.13,1.00,3.48
54,0.36,4.18,4.82,5.83,5.96,4.94
55,0.37,0.46,2.85,4.71,5.37,3.25
56,0.37,4.45,1.68,0.96,5.73,4.87
57,0.38,0.61,4.92,3.14,2.31,5.65
58,0.39,1.09,4.89,4.76,2.68,5.35
59,0.39,5.18,5.56,2.51,2.92,5.54
60,0.40,1.06,1.57,1.06,3.82,3.50
61,0.41,5.13,3.03,3.26,4.65,1.61
62,0.41,1.75,3.91,3.01,5.08,5.07
63,0.42,1.43,5.58,5.92,5.17,4.86
64,0.43,2.73,5.72,3.07,4.67,4.55
65,0.43,2.55,3.45,3.81,4.35,2.53
66,0.44,4.24,1.62,2.70,3.59,4.69
67,0.45,3.93,2.36,5.83,5.45,2.18
68,0.45,3.72,4.48,5.02,4.90,3.75
69,0.46,5.17,4.87,1.48,2.22,1.24
70,0.47,4.19,1.32,3.59,4.23,1.08
71,0.47,2.54,3.32,1.45,4.24,5.70
72,0.48,5.24,1.43,3.92,1.71,1.27
73,0.49,1.38,4.60,1.71,1.34,3.11
74,0.49,2.66,3.40,3.62,4.41,3.22
75,0.50,5.34,3.72,1.62,4.66,4.63
76,0.51,2.63,3.50,5.60,3.44,4.27
77,0.51,3.14,1.35,2.49,2.52,3.64
78,0.52,1.68,1.11,2.04,3.75,2.27
79,0.53,1.66,1.76,4.94,2.76,5.44
80,0.53,1.02,2.40,5.15,5.72,4.21
81,0.54,4.17,4.45,2.38,2.22,2.06
82,0.55,4.51,2.74,1.01,4.80,0.44
83,0.55,1.46,4.84,2.13,1.82,1.54
84,0.56,3.63,3.40,0.99,3.16,0.71
