"Resumen de la Prueba"
"Parámetro","Valor"
"Nombre del archivo","medicion_017.csv"
"startTime","2025-07-04T23:53:04.777Z"
"durationLabel","10.00s"
"samplesPerSecondLabel","1 Hz"
"dominantRegimen","flujo laminar"

"Estadísticas de la Prueba"
"Sensor","Media","Desv. Est.","Mín","Máx"
"Sensor 1","2.67","1.60","0.15","5.55"
"Sensor 2","2.94","1.69","0.38","5.84"

"#RAW_HEADERS",time,sensor1,sensor2,regimen
"Datos Recolectados"
"Nº de Muestra","time","Sensor 1","Sensor 2","Régimen de Flujo"
1,0.00,1.95,4.91,"turbulento"
2,1.00,5.55,2.00,"flujo laminar"
3,2.00,2.01,2.41,"turbulento"
4,3.00,0.15,2.76,"turbulento"
5,4.00,1.94,5.84,"flujo laminar"
6,5.00,1.54,3.43,"flujo laminar"
7,6.00,4.45,1.67,"flujo laminar"
8,7.00,1.24,5.03,"turbulento"
9,8.00,4.04,0.38,"turbulento"
10,9.00,2.87,2.43,"turbulento"
11,10.00,3.67,1.52,"flujo laminar"
