"Resumen de la Prueba"
"Parámetro","Valor"
"Nombre del archivo","medicion_01.csv"
"Hora de Inicio","4/7/2025, 17:17:42"
"Duración","10.00s"
"Muestras por segundo","1 Hz"

"Estadísticas de la Prueba"
"Sensor","Media","Desv. Est.","Mín","Máx"
"Sensor 1","2.69","1.10","0.76","4.41"
"Sensor 2","3.46","1.32","1.69","5.43"

"Datos Recolectados"
"Nº de Muestra","time","Sensor 1","Sensor 2","Régimen de Flujo"
1,0.00,3.15,4.70,"Flujo laminar"
2,1.00,2.78,1.97,"En la frontera"
3,2.00,3.57,4.05,"En la frontera"
4,3.00,1.60,2.97,"En la frontera"
5,4.00,2.53,5.02,"Turbulento"
6,5.00,2.76,2.21,"Turbulento"
7,6.00,4.41,1.69,"Turbulento"
8,7.00,0.76,5.43,"Turbulento"
9,8.00,1.43,2.56,"Turbulento"
10,9.00,2.61,3.01,"Flujo laminar"
11,10.00,3.95,4.47,"En la frontera"
