"Resumen de la Prueba"
"Parámetro","Valor"
"Nombre del archivo","medicion_01.csv"
"startTime","2025-07-04T23:30:34.244Z"
"durationLabel","10.00s"
"samplesPerSecondLabel","1 Hz"

"Estadísticas de la Prueba"
"Sensor","Media","Desv. Est.","Mín","Máx"
"Sensor 1","3.05","1.82","0.44","5.96"
"Sensor 2","2.73","2.06","0.38","5.98"

"#RAW_HEADERS",time,sensor1,sensor2,regimen
"Datos Recolectados"
"Nº de Muestra","time","Sensor 1","Sensor 2","Régimen de Flujo"
1,0.00,4.10,2.80,"en la frontera"
2,1.00,2.00,2.19,"flujo laminar"
3,2.00,4.61,0.40,"flujo laminar"
4,3.00,0.44,0.58,"flujo laminar"
5,4.00,2.72,5.98,"en la frontera"
6,5.00,3.51,1.04,"en la frontera"
7,6.00,1.15,0.38,"turbulento"
8,7.00,4.06,4.25,"turbulento"
9,8.00,5.96,3.70,"en la frontera"
10,9.00,4.43,2.87,"flujo laminar"
11,10.00,0.53,5.85,"en la frontera"
