"Resumen de la Prueba"
"Parámetro","Valor"
"Nombre del archivo","medicion_01.csv"
"startTime","2025-07-04T23:46:20.736Z"
"durationLabel","10.00s"
"samplesPerSecondLabel","15 Hz"

"Estadísticas de la Prueba"
"Sensor","Media","Desv. Est.","Mín","Máx"
"Sensor 1","2.64","1.57","-0.95","5.71"
"Sensor 2","2.59","1.59","-0.90","5.90"
"Sensor 3","2.51","1.57","-0.78","5.62"
"Sensor 4","2.44","1.63","-0.74","5.94"
"Sensor 5","2.70","1.56","-0.92","5.54"

"#RAW_HEADERS",time,sensor1,sensor2,sensor3,sensor4,sensor5,regimen
"Datos Recolectados"
"Nº de Muestra","time","Sensor 1","Sensor 2","Sensor 3","Sensor 4","Sensor 5","Régimen de Flujo"
1,0.00,0.39,2.48,4.48,0.15,4.00,"flujo laminar"
2,0.07,3.00,0.56,2.12,2.47,2.71,"en la frontera"
3,0.13,4.16,3.71,2.24,4.93,1.74,"en la frontera"
4,0.20,1.17,4.07,3.29,1.08,5.36,"flujo laminar"
5,0.27,2.74,2.45,4.68,2.16,2.67,"flujo laminar"
6,0.33,3.96,0.92,3.96,4.79,1.95,"flujo laminar"
7,0.40,4.73,2.06,4.00,1.07,5.37,"turbulento"
8,0.47,1.16,2.62,2.09,2.03,4.75,"en la frontera"
9,0.53,2.44,3.91,5.13,4.58,2.91,"en la frontera"
10,0.60,4.16,2.31,2.32,5.66,5.04,"en la frontera"
11,0.67,1.89,3.71,4.69,2.10,4.51,"turbulento"
12,0.73,1.26,2.62,5.24,5.03,4.42,"turbulento"
13,0.80,5.38,1.75,1.18,3.53,3.64,"turbulento"
14,0.87,3.55,5.84,1.26,1.01,0.16,"flujo laminar"
15,0.93,4.93,4.42,4.81,4.06,2.34,"turbulento"
16,1.00,1.91,1.11,2.60,3.58,3.65,"en la frontera"
17,1.07,1.40,5.61,4.88,3.46,1.42,"flujo laminar"
18,1.13,1.05,3.32,3.21,1.03,0.65,"turbulento"
19,1.20,3.62,2.39,3.26,1.64,0.60,"turbulento"
20,1.27,1.35,2.41,2.43,1.12,3.40,"flujo laminar"
21,1.33,3.88,4.38,-0.26,3.56,2.02,"flujo laminar"
22,1.40,3.96,1.33,3.87,3.76,1.69,"flujo laminar"
23,1.47,1.63,3.02,3.18,2.40,3.14,"en la frontera"
24,1.53,3.32,1.08,-0.14,0.26,3.15,"flujo laminar"
25,1.60,1.16,0.67,-0.52,1.67,3.48,"flujo laminar"
26,1.67,3.25,3.18,-0.18,0.84,3.93,"en la frontera"
27,1.73,2.60,3.34,0.43,1.58,2.51,"flujo laminar"
28,1.80,5.57,2.84,1.19,4.97,5.22,"flujo laminar"
29,1.87,2.98,0.10,-0.61,2.96,2.51,"en la frontera"
30,1.93,2.53,3.21,3.00,1.50,2.60,"en la frontera"
31,2.00,4.43,-0.32,3.70,2.22,3.00,"en la frontera"
32,2.07,3.14,3.25,0.71,4.79,0.31,"turbulento"
33,2.13,3.21,1.34,3.51,1.90,0.23,"en la frontera"
34,2.20,4.93,-0.44,2.07,2.10,-0.70,"turbulento"
35,2.27,4.09,-0.41,2.52,2.08,2.57,"en la frontera"
36,2.33,4.57,0.48,1.30,2.09,0.81,"flujo laminar"
37,2.40,5.31,1.03,3.72,1.57,3.74,"flujo laminar"
38,2.47,4.43,-0.10,2.04,2.98,1.91,"flujo laminar"
39,2.53,5.23,-0.82,3.19,1.89,3.28,"en la frontera"
40,2.60,1.05,1.94,5.47,-0.56,1.28,"flujo laminar"
41,2.67,1.30,1.03,1.89,4.00,4.60,"turbulento"
42,2.73,2.18,0.15,4.66,-0.14,1.70,"flujo laminar"
43,2.80,4.16,0.57,1.32,3.98,3.11,"turbulento"
44,2.87,1.44,3.20,3.37,-0.58,2.25,"en la frontera"
45,2.93,4.11,0.95,1.00,4.22,2.36,"turbulento"
46,3.00,0.41,3.73,2.03,0.38,0.75,"flujo laminar"
47,3.07,3.60,4.18,3.05,4.00,4.39,"en la frontera"
48,3.13,3.82,2.50,4.18,2.32,4.22,"en la frontera"
49,3.20,3.96,2.44,2.70,1.29,2.91,"turbulento"
50,3.27,4.00,2.58,2.00,1.22,4.11,"turbulento"
51,3.33,2.19,4.16,0.83,4.12,2.91,"turbulento"
52,3.40,4.03,0.56,1.33,4.47,1.08,"flujo laminar"
53,3.47,1.51,2.82,1.83,4.98,3.55,"turbulento"
54,3.53,1.23,2.91,2.99,5.94,-0.30,"en la frontera"
55,3.60,-0.14,3.48,3.85,2.89,-0.16,"turbulento"
56,3.67,0.80,4.57,3.22,1.61,3.68,"flujo laminar"
57,3.73,1.26,2.41,1.58,3.58,4.08,"flujo laminar"
58,3.80,0.18,2.09,3.59,1.39,0.16,"flujo laminar"
59,3.87,-0.50,2.91,1.20,4.33,1.72,"flujo laminar"
60,3.93,-0.19,4.04,0.55,4.97,3.53,"turbulento"
61,4.00,2.27,2.95,2.77,1.35,4.07,"flujo laminar"
62,4.07,4.14,3.68,4.07,-0.42,5.35,"en la frontera"
63,4.13,-0.12,3.96,1.66,1.45,4.09,"turbulento"
64,4.20,3.81,5.09,4.34,4.07,5.32,"en la frontera"
65,4.27,0.03,4.00,2.86,0.67,1.69,"turbulento"
66,4.33,-0.31,1.62,1.25,0.03,4.46,"turbulento"
67,4.40,2.72,4.93,2.50,2.15,3.04,"turbulento"
68,4.47,0.84,2.50,4.05,2.71,0.24,"flujo laminar"
69,4.53,1.90,2.41,1.03,0.22,4.08,"turbulento"
70,4.60,-0.95,2.48,1.66,3.26,0.29,"turbulento"
71,4.67,2.71,3.26,4.32,3.17,-0.41,"en la frontera"
72,4.73,3.83,2.52,2.62,2.00,3.64,"flujo laminar"
73,4.80,1.57,4.80,2.01,3.53,1.22,"en la frontera"
74,4.87,0.39,2.41,3.85,2.44,0.56,"en la frontera"
75,4.93,-0.60,3.43,2.88,5.49,2.49,"en la frontera"
76,5.00,2.36,2.25,0.77,4.41,1.47,"turbulento"
77,5.07,3.58,2.59,3.36,1.58,2.68,"en la frontera"
78,5.13,3.01,2.82,3.26,3.41,3.67,"turbulento"
79,5.20,3.72,3.40,3.02,4.76,4.98,"turbulento"
80,5.27,3.95,-0.57,0.94,2.60,2.74,"turbulento"
81,5.33,2.75,3.38,0.44,4.41,2.30,"en la frontera"
82,5.40,2.10,1.87,2.68,2.44,4.33,"turbulento"
83,5.47,2.39,2.84,1.54,1.31,3.25,"en la frontera"
84,5.53,1.58,-0.38,-0.78,4.10,0.70,"turbulento"
85,5.60,0.63,1.09,3.67,-0.30,3.43,"flujo laminar"
86,5.67,-0.29,-0.23,-0.32,0.07,1.88,"turbulento"
87,5.73,1.67,2.99,0.75,2.07,3.62,"en la frontera"
88,5.80,3.30,0.47,1.82,2.22,2.65,"en la frontera"
89,5.87,3.83,2.08,2.32,0.50,3.00,"flujo laminar"
90,5.93,1.46,3.17,3.14,2.76,3.93,"en la frontera"
91,6.00,3.98,-0.17,3.14,-0.10,3.20,"flujo laminar"
92,6.07,0.78,4.50,3.50,1.03,1.76,"en la frontera"
93,6.13,3.20,3.89,3.95,1.07,0.54,"en la frontera"
94,6.20,3.08,1.06,0.08,2.29,3.02,"en la frontera"
95,6.27,1.52,1.50,1.21,0.91,1.11,"flujo laminar"
96,6.33,3.86,0.92,4.57,2.79,4.51,"flujo laminar"
97,6.40,3.33,4.83,3.68,2.80,2.08,"turbulento"
98,6.47,2.13,0.75,3.61,4.79,2.43,"turbulento"
99,6.53,1.59,5.28,2.89,5.29,5.09,"en la frontera"
100,6.60,2.60,3.47,1.86,1.59,4.93,"flujo laminar"
101,6.67,5.06,2.18,3.19,1.07,2.81,"en la frontera"
102,6.73,5.41,4.41,5.62,1.82,0.86,"turbulento"
103,6.80,4.95,4.11,3.86,4.23,4.31,"en la frontera"
104,6.87,1.35,4.96,1.36,1.77,3.66,"turbulento"
105,6.93,1.80,5.90,5.62,5.36,1.16,"en la frontera"
106,7.00,4.23,3.99,0.99,1.51,1.01,"en la frontera"
107,7.07,3.34,2.29,2.00,2.16,3.89,"flujo laminar"
108,7.13,3.16,5.52,4.37,2.15,3.88,"flujo laminar"
109,7.20,1.62,2.79,1.35,-0.40,3.82,"flujo laminar"
110,7.27,5.29,5.13,3.19,-0.16,0.50,"turbulento"
111,7.33,3.99,5.15,0.05,3.59,2.30,"turbulento"
112,7.40,1.91,3.92,3.03,1.54,0.80,"turbulento"
113,7.47,2.10,3.82,3.87,0.60,2.03,"en la frontera"
114,7.53,5.71,1.60,0.95,-0.74,2.73,"turbulento"
115,7.60,2.37,1.87,3.78,1.90,2.11,"turbulento"
116,7.67,1.72,3.14,1.58,4.28,2.22,"flujo laminar"
117,7.73,3.93,1.34,0.19,0.89,1.06,"en la frontera"
118,7.80,4.35,4.62,2.14,0.02,5.19,"flujo laminar"
119,7.87,2.90,2.59,1.03,1.09,4.73,"en la frontera"
120,7.93,2.12,4.60,-0.62,2.47,1.49,"en la frontera"
121,8.00,4.08,3.88,-0.36,4.50,5.54,"flujo laminar"
