"Resumen de la Prueba"
"Parámetro","Valor"
"Nombre del archivo","nj.csv"
"startTime","2025-07-30T21:55:48.124Z"
"durationLabel","10.00s"
"samplesPerSecondLabel","1 Hz"
"totalSamples","10"
"dominantRegimen","indeterminado"

"Estadísticas de la Prueba"
"Sensor","Media","Desv. Est.","Mín","Máx"
"Sensor 3","3.14","1.46","0.59","5.33"

"#RAW_HEADERS",time,sensor3
"Datos Recolectados"
"Nº de Muestra","time","Sensor 3"
1,1.00,5.23
2,2.00,5.33
3,3.00,3.68
4,4.00,0.59
5,5.00,1.99
6,6.00,1.76
7,7.00,3.03
8,8.00,3.40
9,9.00,3.27
10,10.00,3.09
