"Resumen de la Prueba"
"Parámetro","Valor"
"Nombre del archivo","p1_ambos_servidores.csv"
"startTime","2025-09-17T03:39:12.195Z"
"durationLabel","2.76s"
"samplesPerSecondLabel","150 Hz"
"totalSamples","414"
"dominantRegimen","indeterminado"

"Estadísticas de la Prueba"
"Sensor","Media","Desv. Est.","Mín","Máx"
"Sensor 1","3.19","1.44","0.19","5.94"

"#RAW_HEADERS",time,sensor1
"Datos Recolectados"
"Nº de Muestra","time","Sensor 1"
1,0.01,0.87
2,0.01,2.78
3,0.02,4.21
4,0.03,2.34
5,0.03,2.95
6,0.04,3.03
7,0.05,4.65
8,0.05,3.51
9,0.06,1.97
10,0.07,0.19
11,0.07,4.50
12,0.08,3.67
13,0.09,1.67
14,0.09,1.53
15,0.10,4.06
16,0.11,4.65
17,0.11,2.71
18,0.12,0.62
19,0.13,4.69
20,0.13,0.80
21,0.14,3.03
22,0.15,1.16
23,0.15,4.25
24,0.16,1.67
25,0.17,3.99
26,0.17,0.86
27,0.18,0.46
28,0.19,3.78
29,0.19,1.70
30,0.20,3.38
31,0.21,3.69
32,0.21,1.92
33,0.22,3.29
34,0.23,4.30
35,0.23,3.19
36,0.24,2.36
37,0.25,5.00
38,0.25,3.36
39,0.26,3.40
40,0.27,4.73
41,0.27,2.95
42,0.28,3.98
43,0.29,0.86
44,0.29,4.20
45,0.30,4.32
46,0.31,1.95
47,0.31,0.65
48,0.32,1.93
49,0.33,1.83
50,0.33,1.29
51,0.34,3.61
52,0.35,1.36
53,0.35,3.30
54,0.36,3.07
55,0.37,4.36
56,0.37,2.66
57,0.38,2.26
58,0.39,1.99
59,0.39,5.27
60,0.40,3.11
61,0.41,2.47
62,0.41,3.61
63,0.42,2.25
64,0.43,1.75
65,0.43,5.40
66,0.44,3.40
67,0.45,0.66
68,0.45,2.19
69,0.46,2.88
70,0.47,5.44
71,0.47,3.80
72,0.48,2.57
73,0.49,4.90
74,0.49,1.72
75,0.50,4.02
76,0.51,1.26
77,0.51,4.91
78,0.52,2.82
79,0.53,3.97
80,0.53,4.95
81,0.54,5.24
82,0.55,4.78
83,0.55,4.86
84,0.56,5.42
85,0.57,0.69
86,0.57,3.44
87,0.58,2.22
88,0.59,4.47
89,0.59,2.45
90,0.60,4.73
91,0.61,5.20
92,0.61,1.24
93,0.62,1.09
94,0.63,1.94
95,0.63,2.02
96,0.64,5.25
97,0.65,5.33
98,0.65,0.84
99,0.66,2.74
100,0.67,3.75
101,0.67,1.04
102,0.68,1.62
103,0.69,2.88
104,0.69,3.14
105,0.70,3.73
106,0.71,3.38
107,0.71,1.57
108,0.72,3.03
109,0.73,2.76
110,0.73,4.58
111,0.74,3.05
112,0.75,4.79
113,0.75,2.27
114,0.76,5.33
115,0.77,4.02
116,0.77,0.87
117,0.78,4.72
118,0.79,2.00
119,0.79,4.29
120,0.80,2.37
121,0.81,3.52
122,0.81,0.95
123,0.82,0.76
124,0.83,4.93
125,0.83,5.18
126,0.84,1.05
127,0.85,4.55
128,0.85,4.71
129,0.86,5.08
130,0.87,5.14
131,0.87,1.78
132,0.88,4.70
133,0.89,3.95
134,0.89,2.10
135,0.90,5.01
136,0.91,4.07
137,0.91,4.01
138,0.92,5.60
139,0.93,4.14
140,0.93,5.14
141,0.94,5.74
142,0.95,3.80
143,0.95,3.94
144,0.96,2.88
145,0.97,4.96
146,0.97,5.62
147,0.98,0.87
148,0.99,1.87
149,0.99,5.31
150,1.00,3.17
151,1.01,3.99
152,1.01,4.88
153,1.02,2.38
154,1.03,1.80
155,1.03,2.74
156,1.04,3.66
157,1.05,4.18
158,1.05,4.54
159,1.06,4.38
160,1.07,4.64
161,1.07,4.13
162,1.08,4.93
163,1.09,2.48
164,1.09,2.46
165,1.10,1.56
166,1.11,2.09
167,1.11,1.74
168,1.12,4.39
169,1.13,5.51
170,1.13,3.24
171,1.14,3.62
172,1.15,2.89
173,1.15,2.64
174,1.16,3.77
175,1.17,4.44
176,1.17,1.49
177,1.18,1.26
178,1.19,3.13
179,1.19,1.82
180,1.20,4.60
181,1.21,1.41
