"Resumen de la Prueba"
"Parámetro","Valor"
"Nombre del archivo","prueba_1.csv"
"startTime","2025-07-05T01:57:22.107Z"
"durationLabel","5.00s"
"samplesPerSecondLabel","130 Hz"
"totalSamples","1956"
"dominantRegimen","turbulento"

"Estadísticas de la Prueba"
"Sensor","Media","Desv. Est.","Mín","Máx"
"Sensor 1","2.68","1.63","-0.90","5.98"
"Sensor 2","2.73","1.59","-0.93","5.94"
"Sensor 5","2.67","1.62","-0.93","5.89"

"#RAW_HEADERS",time,sensor1,sensor2,sensor5,regimen
"Datos Recolectados"
"Nº de Muestra","time","Sensor 1","Sensor 2","Sensor 5","Régimen de Flujo"
1,0.00,0.92,1.63,1.14,"turbulento"
2,0.01,2.97,1.48,3.61,"flujo laminar"
3,0.02,0.76,3.21,4.19,"turbulento"
4,0.02,3.44,2.62,3.28,"turbulento"
5,0.03,4.16,2.67,4.40,"flujo laminar"
6,0.04,2.12,2.70,1.14,"turbulento"
7,0.05,2.72,1.13,0.72,"turbulento"
8,0.05,3.89,5.01,4.87,"flujo laminar"
9,0.06,2.35,1.40,5.03,"flujo laminar"
10,0.07,0.49,0.86,1.54,"turbulento"
11,0.08,3.36,0.80,3.66,"turbulento"
12,0.08,4.65,3.71,3.46,"turbulento"
13,0.09,4.15,0.88,1.49,"flujo laminar"
14,0.10,0.60,2.97,3.82,"flujo laminar"
15,0.11,1.22,4.49,1.98,"turbulento"
16,0.12,3.94,3.54,4.49,"flujo laminar"
17,0.12,3.03,3.83,2.30,"flujo laminar"
18,0.13,2.74,4.27,1.59,"flujo laminar"
19,0.14,4.64,1.42,1.05,"flujo laminar"
20,0.15,0.53,3.22,2.61,"flujo laminar"
21,0.15,1.41,3.54,3.44,"flujo laminar"
22,0.16,2.31,4.70,4.22,"flujo laminar"
23,0.17,4.72,3.13,3.00,"flujo laminar"
24,0.18,0.82,4.37,2.18,"turbulento"
25,0.18,5.03,3.02,2.85,"turbulento"
26,0.19,4.77,5.25,2.32,"flujo laminar"
27,0.20,4.64,0.94,3.47,"flujo laminar"
28,0.21,0.55,3.25,4.36,"flujo laminar"
29,0.22,1.77,2.49,2.60,"flujo laminar"
30,0.22,5.04,2.58,1.97,"flujo laminar"
31,0.23,5.19,3.28,1.16,"flujo laminar"
32,0.24,5.00,1.07,2.87,"flujo laminar"
33,0.25,5.08,4.98,2.95,"flujo laminar"
34,0.25,0.72,3.35,4.86,"flujo laminar"
35,0.26,0.64,1.39,1.39,"flujo laminar"
36,0.27,2.90,0.76,3.07,"flujo laminar"
37,0.28,0.44,1.18,0.86,"turbulento"
38,0.28,2.20,1.06,1.05,"turbulento"
39,0.29,4.55,2.30,3.77,"turbulento"
40,0.30,4.70,2.60,3.07,"flujo laminar"
41,0.31,4.24,4.33,3.32,"flujo laminar"
42,0.32,4.60,5.58,5.15,"flujo laminar"
43,0.32,1.84,4.64,2.28,"flujo laminar"
44,0.33,3.26,1.07,3.05,"turbulento"
45,0.34,2.16,2.57,2.40,"turbulento"
46,0.35,4.26,5.03,1.90,"flujo laminar"
47,0.35,4.22,2.76,2.77,"turbulento"
48,0.36,3.39,3.46,4.06,"turbulento"
49,0.37,1.01,4.45,2.73,"flujo laminar"
50,0.38,4.23,1.79,2.28,"flujo laminar"
51,0.38,1.86,2.47,2.53,"turbulento"
52,0.39,4.88,4.82,3.85,"flujo laminar"
53,0.40,3.45,4.53,1.15,"flujo laminar"
54,0.41,2.32,3.13,3.12,"turbulento"
55,0.42,4.62,1.38,3.20,"turbulento"
56,0.42,2.74,2.95,5.88,"turbulento"
57,0.43,1.33,4.47,1.31,"turbulento"
58,0.44,2.94,4.46,5.63,"flujo laminar"
59,0.45,0.49,2.35,3.99,"turbulento"
60,0.45,3.80,4.50,4.12,"flujo laminar"
61,0.46,4.39,2.41,2.74,"turbulento"
62,0.47,3.81,1.21,2.18,"flujo laminar"
63,0.48,1.96,3.18,3.77,"flujo laminar"
64,0.48,1.02,5.71,2.25,"turbulento"
65,0.49,3.80,2.74,5.70,"flujo laminar"
66,0.50,5.13,4.73,4.30,"flujo laminar"
67,0.51,2.23,4.50,5.17,"flujo laminar"
68,0.52,3.23,3.90,4.96,"turbulento"
69,0.52,3.96,4.00,4.34,"turbulento"
70,0.53,3.84,1.93,1.99,"flujo laminar"
71,0.54,1.23,2.79,4.52,"flujo laminar"
72,0.55,0.58,1.44,1.66,"flujo laminar"
73,0.55,4.36,1.95,2.56,"turbulento"
