"Resumen de la Prueba"
"Parámetro","Valor"
"Nombre del archivo","q.csv"
"startTime","2025-09-16T05:26:58.285Z"
"durationLabel","5.94s"
"samplesPerSecondLabel","100 Hz"
"totalSamples","594"
"dominantRegimen","TRANSITION"

"Estadísticas de la Prueba"
"Sensor","Media","Desv. Est.","Mín","Máx"
"Sensor 1","2.49","1.69","-0.96","5.97"

"#RAW_HEADERS",time,sensor1
"Datos Recolectados"
"Nº de Muestra","time","Sensor 1"
1,0.01,2.79
2,0.02,0.67
3,0.03,3.92
4,0.04,2.53
5,0.05,4.40
6,0.06,0.87
7,0.07,1.35
8,0.08,0.74
9,0.09,0.43
10,0.10,2.76
11,0.11,1.70
12,0.12,5.07
13,0.13,2.57
14,0.14,1.05
15,0.15,4.98
16,0.16,4.15
17,0.17,0.22
18,0.18,1.73
19,0.19,4.23
20,0.20,2.35
21,0.21,0.25
22,0.22,0.44
23,0.23,4.37
24,0.24,4.52
25,0.25,0.46
26,0.26,1.58
27,0.27,4.29
28,0.28,3.21
29,0.29,3.36
30,0.30,1.88
31,0.31,1.64
32,0.32,3.92
33,0.33,2.61
34,0.34,1.78
35,0.35,1.10
36,0.36,0.49
37,0.37,2.37
38,0.38,1.03
39,0.39,3.54
40,0.40,3.04
41,0.41,1.33
42,0.42,4.74
43,0.43,3.88
44,0.44,5.16
45,0.45,4.85
46,0.46,4.80
47,0.47,4.77
48,0.48,2.07
49,0.49,0.79
50,0.50,1.81
51,0.51,3.52
52,0.52,1.82
53,0.53,1.55
54,0.54,2.54
55,0.55,2.81
56,0.56,0.81
57,0.57,3.17
58,0.58,0.59
59,0.59,1.14
60,0.60,5.55
61,0.61,1.92
62,0.62,2.67
63,0.63,2.87
64,0.64,3.27
65,0.65,5.05
66,0.66,5.38
67,0.67,4.97
68,0.68,0.86
69,0.69,1.76
70,0.70,2.19
71,0.71,4.29
72,0.72,1.55
73,0.73,2.19
74,0.74,5.21
75,0.75,4.87
76,0.76,3.98
77,0.77,3.05
78,0.78,1.32
79,0.79,5.64
80,0.80,5.03
81,0.81,1.51
82,0.82,5.23
83,0.83,3.14
84,0.84,2.36
85,0.85,2.69
86,0.86,3.26
87,0.87,5.02
88,0.88,2.27
89,0.89,1.69
90,0.90,2.84
91,0.91,3.69
92,0.92,2.39
93,0.93,1.99
94,0.94,1.78
95,0.95,4.44
96,0.96,5.52
97,0.97,4.93
98,0.98,5.69
99,0.99,1.78
100,1.00,2.24
101,1.01,4.78
102,1.02,4.29
