"Resumen de la Prueba"
"Parámetro","Valor"
"Nombre del archivo","qq.csv"
"startTime","2025-09-16T04:50:53.681Z"
"durationLabel","23.55s"
"samplesPerSecondLabel","20 Hz"
"totalSamples","471"

"Estadísticas de la Prueba"
"Sensor","Media","Desv. Est.","Mín","Máx"
"Sensor 1","2.50","1.66","-0.89","5.92"
"Sensor 2","2.61","1.51","-1.00","5.82"
"Sensor 3","2.54","1.57","-0.92","5.90"
"Sensor 4","2.53","1.68","-0.99","5.99"

"#RAW_HEADERS",time,sensor1,sensor2,sensor3,sensor4
"Datos Recolectados"
"Nº de Muestra","time","Sensor 1","Sensor 2","Sensor 3","Sensor 4"
1,0.05,1.84,2.25,4.20,4.76
2,0.10,1.38,0.38,2.76,0.80
3,0.15,4.69,1.68,3.86,2.68
4,0.20,4.11,2.42,1.09,4.98
5,0.25,5.15,0.74,0.96,5.10
6,0.30,1.48,1.80,5.31,2.55
7,0.35,4.55,0.65,2.15,4.53
8,0.40,3.76,1.89,4.26,5.92
9,0.45,4.61,1.77,1.59,3.01
10,0.50,5.39,2.86,2.65,1.08
11,0.55,4.32,1.03,3.12,4.55
12,0.60,4.96,4.51,4.40,3.48
13,0.65,1.46,5.82,1.95,4.68
14,0.70,0.65,4.91,5.29,1.12
15,0.75,1.54,1.36,3.79,5.05
16,0.80,0.72,1.81,1.64,3.99
17,0.85,5.11,3.83,0.99,-0.19
18,0.90,4.86,4.14,4.27,0.38
19,0.95,3.25,2.03,1.18,2.41
20,1.00,2.48,4.67,2.98,2.53
21,1.05,4.56,3.27,4.68,3.61
22,1.10,1.48,1.47,-0.11,-0.95
23,1.15,4.50,2.85,3.74,3.37
24,1.20,5.42,4.16,-0.36,-0.74
25,1.25,3.93,3.07,3.18,3.02
26,1.30,2.37,1.68,3.46,3.22
27,1.35,1.30,5.07,3.78,0.33
28,1.40,5.51,2.32,4.04,2.65
29,1.45,5.22,1.32,-0.67,0.43
30,1.50,3.28,2.90,2.85,-0.01
31,1.55,5.76,2.43,-0.40,1.89
32,1.60,4.94,3.31,1.54,0.62
33,1.65,3.35,4.38,0.24,4.92
34,1.70,2.53,3.98,3.91,4.63
35,1.75,4.84,0.79,2.29,5.37
36,1.80,3.89,3.20,2.81,4.63
37,1.85,4.73,2.54,1.96,4.60
38,1.90,5.02,3.44,4.38,2.01
39,1.95,2.00,0.40,2.69,2.15
40,2.00,5.00,1.77,1.30,1.52
41,2.05,1.37,2.19,0.03,2.37
42,2.10,3.82,3.44,2.75,1.35
43,2.15,5.68,1.40,4.40,5.70
44,2.20,4.35,-0.89,4.67,2.99
45,2.25,3.81,3.69,4.84,1.02
46,2.30,3.87,-0.25,1.98,2.10
47,2.35,5.36,0.26,4.31,4.20
48,2.40,3.30,2.27,1.00,0.00
49,2.45,3.58,1.77,2.11,2.08
50,2.50,1.46,3.30,4.01,2.94
51,2.55,2.96,1.09,4.36,3.83
52,2.60,2.57,2.24,5.90,2.23
53,2.65,1.45,2.35,5.19,3.23
54,2.70,3.26,1.10,3.42,-0.53
55,2.75,2.75,0.34,1.60,-0.03
56,2.80,4.47,2.74,2.67,3.87
57,2.85,3.10,1.85,1.53,0.24
58,2.90,4.90,2.40,4.47,3.85
59,2.95,1.21,3.67,4.37,0.67
60,3.00,4.68,2.65,5.38,2.58
61,3.05,1.69,1.47,4.74,2.02
62,3.10,1.75,2.44,1.86,0.22
63,3.15,2.67,0.63,4.20,3.47
64,3.20,3.58,0.85,2.84,2.96
65,3.25,2.41,3.28,1.18,5.16
66,3.30,3.00,3.80,2.26,0.79
67,3.35,4.73,2.53,1.27,4.11
68,3.40,0.19,1.97,-0.39,5.79
69,3.45,0.08,1.88,0.22,2.24
70,3.50,0.77,3.80,-0.52,2.01
71,3.55,3.93,5.60,3.37,3.76
72,3.60,4.35,4.87,-0.81,2.87
73,3.65,3.35,4.20,2.91,5.07
74,3.70,3.57,3.25,0.51,3.00
75,3.75,2.75,2.34,3.93,2.68
76,3.80,3.07,5.37,1.95,2.53
77,3.85,3.70,4.67,1.11,3.92
78,3.90,2.28,4.11,2.14,3.65
79,3.95,1.90,2.85,3.06,4.55
80,4.00,0.67,5.81,2.44,0.08
81,4.05,2.39,4.58,2.78,3.39
82,4.10,-0.71,3.74,2.33,-0.41
83,4.15,-0.14,3.22,2.15,3.41
84,4.20,2.32,3.73,1.78,1.12
85,4.25,-0.89,5.58,0.90,1.63
86,4.30,3.95,4.08,3.95,-0.70
87,4.35,-0.16,3.93,3.90,2.26
88,4.40,0.45,2.50,2.73,3.73
89,4.45,3.31,4.88,4.25,0.71
90,4.50,2.98,5.22,4.74,2.26
91,4.55,1.24,4.31,1.52,2.10
92,4.60,-0.34,4.49,1.45,0.94
93,4.65,1.58,4.70,5.55,0.57
94,4.70,0.25,4.87,2.90,4.77
95,4.75,1.67,3.11,2.24,3.94
96,4.80,0.04,1.56,4.02,0.42
97,4.85,2.36,2.24,2.47,1.73
98,4.90,3.95,0.71,1.31,4.96
99,4.95,1.30,1.45,3.26,4.29
100,5.00,-0.56,2.46,5.49,1.59
101,5.05,1.76,2.16,0.59,1.34
102,5.10,0.00,-0.26,3.94,5.36
103,5.15,3.41,1.61,1.11,3.82
104,5.20,2.04,1.54,4.70,4.67
105,5.25,1.81,0.14,1.24,4.40
106,5.30,3.57,3.36,3.34,4.55
107,5.35,-0.18,1.53,3.70,5.39
108,5.40,0.18,1.66,0.28,1.85
109,5.45,3.94,2.64,1.24,2.62
110,5.50,0.86,0.67,3.77,0.54
111,5.55,-0.45,3.64,1.46,-0.13
112,5.60,2.77,2.82,2.57,-0.16
113,5.65,1.01,3.59,2.34,2.53
114,5.70,0.46,0.00,1.54,3.44
115,5.75,1.18,3.56,3.62,2.82
116,5.80,2.84,-0.35,0.65,0.01
117,5.85,-0.19,3.72,2.30,3.00
118,5.90,4.13,0.77,0.30,2.45
119,5.95,0.13,3.52,2.68,3.38
120,6.00,4.68,1.80,0.58,-0.57
121,6.05,2.08,2.44,3.24,0.66
122,6.10,0.92,0.19,0.96,1.64
123,6.15,3.12,2.08,0.83,2.71
124,6.20,1.51,1.73,2.04,-0.28
125,6.25,4.44,0.08,2.21,-0.13
126,6.30,4.97,1.88,0.91,0.97
127,6.35,2.82,0.52,1.62,4.55
128,6.40,2.89,3.40,2.39,3.68
129,6.45,4.11,1.97,5.21,1.34
130,6.50,1.35,3.37,3.28,2.05
131,6.55,4.87,5.24,1.16,1.11
132,6.60,2.31,5.14,3.32,4.32
133,6.65,0.54,1.53,3.19,5.12
134,6.70,2.64,1.00,3.36,4.86
135,6.75,3.24,5.08,3.51,2.60
136,6.80,4.35,1.06,1.08,3.57
137,6.85,1.19,1.68,3.15,4.63
138,6.90,3.95,5.40,4.86,4.38
139,6.95,2.95,2.31,2.13,2.39
140,7.00,4.48,4.72,3.75,2.46
141,7.05,1.96,1.76,2.39,2.99
142,7.10,1.60,2.97,2.37,0.07
143,7.15,2.65,2.36,3.65,2.35
144,7.20,1.93,4.21,1.17,2.31
145,7.25,4.24,5.59,1.53,2.29
146,7.30,1.38,1.82,4.67,2.85
147,7.35,2.39,3.24,4.00,0.44
148,7.40,5.21,4.22,2.79,-0.68
149,7.45,5.41,1.77,0.59,0.77
150,7.50,5.52,4.32,-0.06,-0.45
151,7.55,3.16,1.36,3.26,0.78
152,7.60,2.75,1.66,3.65,0.66
153,7.65,5.82,2.70,3.81,2.13
154,7.70,2.34,4.76,1.73,2.54
155,7.75,4.93,3.26,0.70,3.50
156,7.80,4.74,0.84,3.92,-0.07
157,7.85,5.55,4.66,2.38,3.93
158,7.90,3.45,4.35,2.05,2.23
159,7.95,3.29,0.58,0.70,4.31
160,8.00,5.24,2.43,-0.71,2.20
161,8.05,0.99,-0.03,3.74,1.98
162,8.10,1.06,2.49,0.01,2.65
163,8.15,5.86,0.66,0.27,5.50
164,8.20,4.95,2.71,3.28,5.42
165,8.25,1.47,2.19,2.09,1.22
166,8.30,2.59,3.39,3.39,3.94
167,8.35,1.84,1.05,0.77,5.49
168,8.40,5.33,2.20,1.52,0.83
169,8.45,1.94,4.04,2.84,2.33
170,8.50,5.67,3.21,1.05,2.29
171,8.55,5.63,0.74,3.57,0.48
172,8.60,5.57,1.46,3.37,4.07
173,8.65,4.53,0.60,1.17,3.27
174,8.70,1.27,0.50,3.42,2.04
175,8.75,2.74,1.20,2.69,1.05
176,8.80,3.91,0.94,1.37,2.74
177,8.85,2.92,2.13,1.23,0.12
178,8.90,3.64,-0.01,1.31,1.40
179,8.95,3.82,1.71,4.84,-0.13
180,9.00,1.29,4.10,5.82,1.73
181,9.05,4.63,0.54,5.57,2.07
182,9.10,1.51,2.39,4.78,2.65
183,9.15,1.67,1.68,1.60,2.27
184,9.20,2.61,3.93,1.84,2.30
185,9.25,3.40,4.22,2.49,2.48
186,9.30,0.46,0.50,2.13,0.47
187,9.35,1.37,0.48,4.35,4.07
188,9.40,1.63,0.89,0.09,1.67
189,9.45,3.75,3.05,2.81,4.86
190,9.50,3.02,2.21,4.64,3.14
191,9.55,3.06,5.10,1.17,2.22
192,9.60,0.49,4.02,0.05,4.31
193,9.65,0.55,3.12,1.42,4.59
194,9.70,-0.25,3.20,2.44,3.40
195,9.75,-0.31,5.16,1.50,4.61
196,9.80,0.74,2.47,3.02,3.90
197,9.85,3.07,4.89,-0.46,5.64
198,9.90,1.61,3.48,-0.68,2.69
199,9.95,2.40,1.95,1.92,2.20
200,10.00,3.50,3.01,0.64,4.28
201,10.05,2.96,1.51,1.63,0.62
202,10.10,-0.24,4.30,-0.80,0.58
203,10.15,0.91,1.59,0.47,2.18
204,10.20,2.43,1.52,3.38,0.09
205,10.25,1.78,3.20,1.60,1.16
206,10.30,1.21,3.50,3.07,2.68
207,10.35,2.44,1.59,3.51,-0.44
208,10.40,1.26,2.10,2.60,1.92
209,10.45,3.87,3.91,2.29,3.73
210,10.50,2.10,4.20,0.50,2.37
211,10.55,0.76,2.38,1.21,0.84
212,10.60,1.90,5.58,4.53,2.88
213,10.65,-0.87,5.20,1.47,2.87
214,10.70,0.72,2.64,5.50,2.30
215,10.75,-0.65,2.11,1.61,-0.33
216,10.80,-0.33,5.27,5.31,3.32
217,10.85,-0.42,2.32,5.20,2.84
218,10.90,0.10,1.76,4.93,1.93
219,10.95,0.94,2.09,1.92,0.69
220,11.00,1.63,3.88,5.06,1.22
221,11.05,0.51,1.67,2.37,0.47
222,11.10,2.58,4.57,4.47,3.54
223,11.15,1.61,3.53,5.86,3.28
