"Resumen de la Prueba"
"Parámetro","Valor"
"Nombre del archivo","ref.csv"
"startTime","2025-07-30T22:19:59.277Z"
"durationLabel","10.00s"
"samplesPerSecondLabel","1 Hz"
"totalSamples","10"
"dominantRegimen","indeterminado"

"Estadísticas de la Prueba"
"Sensor","Media","Desv. Est.","Mín","Máx"
"Sensor 3","2.63","1.23","1.31","4.98"

"#RAW_HEADERS",time,sensor3
"Datos Recolectados"
"Nº de Muestra","time","Sensor 3"
1,1.00,2.94
2,2.00,1.47
3,3.00,4.98
4,4.00,3.53
5,5.00,1.74
6,6.00,2.27
7,7.00,1.31
8,8.00,3.91
9,9.00,1.43
10,10.00,2.72
