"Resumen de la Prueba"
"Parámetro","Valor"
"Nombre del archivo","sdvfa.csv"
"startTime","2025-09-16T04:21:21.398Z"
"durationLabel","9.60s"
"samplesPerSecondLabel","10 Hz"
"totalSamples","96"

"Estadísticas de la Prueba"
"Sensor","Media","Desv. Est.","Mín","Máx"
"Sensor 1","2.67","1.75","-0.73","5.64"
"Sensor 2","2.40","1.67","-0.89","5.54"
"Sensor 3","2.65","1.62","-0.51","5.83"
"Sensor 4","2.72","1.70","-0.91","5.85"

"#RAW_HEADERS",time,sensor1,sensor2,sensor3,sensor4
"Datos Recolectados"
"Nº de Muestra","time","Sensor 1","Sensor 2","Sensor 3","Sensor 4"
1,0.10,0.91,1.99,4.08,1.64
2,0.20,0.56,3.66,5.30,4.82
3,0.30,4.27,4.69,3.92,2.59
4,0.40,1.86,2.53,1.57,2.28
5,0.50,1.57,4.03,5.09,4.16
6,0.60,4.67,4.45,4.89,5.29
7,0.70,3.86,5.01,5.83,5.29
8,0.80,5.20,3.71,2.00,0.57
9,0.90,5.50,1.15,2.97,3.98
10,1.00,3.65,4.66,1.08,2.64
11,1.10,1.24,5.05,4.51,3.62
12,1.20,4.73,3.63,4.03,-0.13
13,1.30,4.01,4.24,1.74,2.81
14,1.40,2.23,4.19,0.09,4.07
15,1.50,3.75,0.76,1.75,0.44
16,1.60,2.08,3.44,1.19,4.98
17,1.70,5.08,0.77,3.31,2.65
18,1.80,1.91,0.13,2.89,4.31
19,1.90,5.18,2.24,-0.15,4.35
20,2.00,5.52,-0.45,4.33,1.02
21,2.10,4.19,1.53,3.83,1.07
22,2.20,3.15,-0.39,3.02,1.66
23,2.30,2.53,0.83,4.08,3.78
24,2.40,3.06,3.29,2.18,4.13
25,2.50,3.20,0.91,4.20,1.12
26,2.60,4.65,3.12,3.72,1.69
27,2.70,3.57,0.47,1.07,3.07
28,2.80,3.80,1.52,2.01,1.92
29,2.90,5.07,2.82,3.03,0.93
30,3.00,3.07,2.43,2.54,2.07
31,3.10,3.65,2.48,1.94,1.14
32,3.20,3.86,1.78,4.82,2.04
33,3.30,1.68,2.42,-0.30,4.03
34,3.40,0.21,1.09,-0.50,4.19
35,3.50,1.27,4.62,3.35,5.40
36,3.60,4.21,0.97,2.22,2.05
37,3.70,0.17,1.70,0.01,4.20
38,3.80,1.00,5.39,2.19,0.62
39,3.90,3.89,2.44,-0.20,4.66
40,4.00,1.89,4.00,0.16,2.80
41,4.10,2.24,3.08,0.50,0.22
42,4.20,0.15,1.81,4.25,0.27
43,4.30,-0.56,1.14,4.23,2.72
44,4.40,3.20,4.92,3.84,2.02
45,4.50,0.88,3.09,4.96,3.79
46,4.60,3.08,3.89,3.42,2.93
47,4.70,0.66,0.44,2.96,2.67
48,4.80,1.43,0.13,3.57,1.24
49,4.90,0.40,0.47,1.48,1.11
50,5.00,3.32,4.01,1.46,5.85
51,5.10,-0.73,3.55,2.20,1.56
52,5.20,2.69,-0.62,0.75,5.21
53,5.30,-0.58,2.70,3.89,1.72
54,5.40,-0.48,3.33,2.45,0.66
55,5.50,3.92,2.61,3.49,4.86
56,5.60,-0.08,1.88,0.83,-0.15
57,5.70,-0.38,0.93,3.67,4.03
58,5.80,-0.05,2.55,1.98,1.49
59,5.90,2.99,0.63,-0.51,0.47
60,6.00,1.95,4.44,0.79,1.33
61,6.10,1.09,0.84,2.50,0.89
62,6.20,2.35,3.28,2.85,0.69
63,6.30,4.70,0.57,0.57,2.38
64,6.40,2.16,4.28,1.44,4.23
65,6.50,0.66,3.82,4.27,4.38
66,6.60,5.20,1.71,5.48,4.97
67,6.70,1.10,4.88,3.23,5.85
68,6.80,0.61,4.75,4.08,1.95
69,6.90,5.58,3.52,3.76,1.99
70,7.00,5.37,5.10,1.78,3.50
71,7.10,2.27,3.78,4.74,3.03
72,7.20,1.18,1.48,2.97,0.33
73,7.30,4.48,1.28,1.36,3.88
74,7.40,4.23,2.52,4.05,-0.81
75,7.50,4.19,5.54,3.33,3.45
76,7.60,4.82,4.16,-0.47,-0.18
77,7.70,2.95,1.91,3.22,3.85
78,7.80,1.62,3.87,1.99,3.92
79,7.90,5.38,1.13,0.53,1.91
80,8.00,1.98,3.63,3.42,4.95
81,8.10,3.89,3.20,2.44,4.07
82,8.20,3.76,0.89,-0.19,3.53
83,8.30,5.57,2.34,2.68,5.71
84,8.40,0.86,1.76,1.40,3.70
85,8.50,2.95,-0.89,3.51,4.26
86,8.60,2.01,1.59,1.51,2.18
87,8.70,5.64,-0.46,3.34,-0.19
88,8.80,2.00,0.87,4.95,0.65
89,8.90,1.74,-0.56,3.58,3.61
90,9.00,1.58,-0.70,5.53,-0.91
91,9.10,2.39,-0.21,1.50,3.59
92,9.20,4.38,3.01,4.38,3.77
93,9.30,0.70,3.80,4.41,3.19
94,9.40,2.85,2.92,2.19,4.10
95,9.50,2.77,0.67,0.33,3.92
96,9.60,1.78,2.18,3.89,2.90
