"Resumen de la Prueba"
"Parámetro","Valor"
"Nombre del archivo","sss.csv"
"startTime","2025-09-15T03:24:33.086Z"
"durationLabel","10.00s"
"samplesPerSecondLabel","1 Hz"
"totalSamples","10"
"dominantRegimen","indeterminado"

"Estadísticas de la Prueba"
"Sensor","Media","Desv. Est.","Mín","Máx"
"Sensor 2","2.49","1.41","-0.25","5.18"
"Sensor 4","2.97","1.76","0.02","5.87"

"#RAW_HEADERS",time,sensor2,sensor4
"Datos Recolectados"
"Nº de Muestra","time","Sensor 2","Sensor 4"
1,1.00,2.03,3.81
2,2.00,3.00,2.58
3,3.00,2.24,3.12
4,4.00,-0.25,5.49
5,5.00,1.26,2.15
6,6.00,2.85,1.75
7,7.00,3.13,3.10
8,8.00,2.30,0.02
9,9.00,5.18,1.84
10,10.00,3.14,5.87
