"Resumen de la Prueba"
"Parámetro","Valor"
"Nombre del archivo","w.csv"
"startTime","2025-09-16T05:25:32.650Z"
"durationLabel","10.00s"
"samplesPerSecondLabel","100 Hz"
"totalSamples","1001"
"dominantRegimen","TRANSITION"

"Estadísticas de la Prueba"
"Sensor","Media","Desv. Est.","Mín","Máx"
"Sensor 1","2.72","1.58","-0.93","5.92"

"#RAW_HEADERS",time,sensor1
"Datos Recolectados"
"Nº de Muestra","time","Sensor 1"
1,0.01,4.35
2,0.02,2.77
3,0.03,1.05
4,0.04,2.83
5,0.05,0.61
6,0.06,0.53
7,0.07,0.77
8,0.08,5.01
9,0.09,4.14
10,0.10,2.37
11,0.11,1.18
12,0.12,4.12
13,0.13,2.21
14,0.14,0.44
15,0.15,5.01
16,0.16,5.04
17,0.17,3.77
18,0.18,2.41
19,0.19,1.02
20,0.20,4.86
21,0.21,1.62
22,0.22,1.62
23,0.23,3.88
24,0.24,3.82
25,0.25,3.63
26,0.26,3.38
27,0.27,5.24
28,0.28,4.60
29,0.29,1.21
30,0.30,2.93
31,0.31,5.28
32,0.32,3.59
33,0.33,4.20
34,0.34,4.21
35,0.35,2.33
36,0.36,4.55
37,0.37,4.38
38,0.38,2.79
39,0.39,1.47
40,0.40,0.87
41,0.41,0.59
42,0.42,1.85
43,0.43,2.94
44,0.44,4.16
45,0.45,3.10
46,0.46,2.02
47,0.47,0.83
48,0.48,4.59
49,0.49,3.72
50,0.50,1.20
51,0.51,5.01
52,0.52,3.01
53,0.53,1.93
54,0.54,3.20
55,0.55,4.96
56,0.56,1.39
57,0.57,5.46
58,0.58,3.93
59,0.59,1.04
60,0.60,2.88
61,0.61,0.64
62,0.62,1.39
63,0.63,1.50
64,0.64,0.81
65,0.65,4.20
66,0.66,1.64
67,0.67,1.94
68,0.68,4.07
69,0.69,2.43
70,0.70,4.18
71,0.71,1.10
72,0.72,1.02
73,0.73,2.85
74,0.74,4.73
75,0.75,2.58
76,0.76,2.64
77,0.77,1.34
78,0.78,3.75
79,0.79,3.93
80,0.80,2.92
81,0.81,2.27
82,0.82,2.95
83,0.83,1.16
84,0.84,4.04
85,0.85,3.16
86,0.86,1.78
87,0.87,5.11
88,0.88,5.11
89,0.89,2.75
90,0.90,1.74
91,0.91,4.61
92,0.92,2.84
93,0.93,2.22
94,0.94,2.12
95,0.95,5.40
96,0.96,0.87
97,0.97,3.59
98,0.98,2.46
99,0.99,5.83
100,1.00,5.74
101,1.01,3.18
102,1.02,3.51
103,1.03,4.91
104,1.04,4.57
105,1.05,4.69
106,1.06,4.67
107,1.07,1.26
108,1.08,1.58
109,1.09,3.05
110,1.10,5.04
111,1.11,4.25
112,1.12,1.82
113,1.13,2.31
114,1.14,5.23
115,1.15,3.48
116,1.16,3.33
117,1.17,5.73
118,1.18,5.89
119,1.19,1.86
120,1.20,3.73
121,1.21,4.39
122,1.22,5.13
123,1.23,5.54
124,1.24,1.58
125,1.25,4.92
126,1.26,5.34
127,1.27,3.44
128,1.28,4.10
129,1.29,4.23
130,1.30,1.92
131,1.31,2.47
132,1.32,2.52
133,1.33,3.10
134,1.34,4.72
135,1.35,4.44
136,1.36,1.98
137,1.37,1.15
138,1.38,3.77
139,1.39,5.70
140,1.40,4.00
141,1.41,4.59
142,1.42,1.73
143,1.43,2.21
144,1.44,4.24
145,1.45,1.65
146,1.46,4.25
147,1.47,5.08
148,1.48,5.59
149,1.49,1.37
150,1.50,5.31
151,1.51,3.09
152,1.52,2.29
153,1.53,1.61
154,1.54,3.72
155,1.55,1.20
156,1.56,1.69
157,1.57,1.36
158,1.58,3.72
159,1.59,5.92
160,1.60,3.71
161,1.61,4.86
162,1.62,4.84
163,1.63,2.78
164,1.64,4.10
165,1.65,2.61
166,1.66,2.89
167,1.67,5.22
168,1.68,4.20
169,1.69,2.79
170,1.70,2.26
171,1.71,4.84
172,1.72,4.48
173,1.73,2.06
174,1.74,3.49
175,1.75,5.61
176,1.76,1.65
177,1.77,4.35
178,1.78,5.35
179,1.79,1.71
180,1.80,1.97
181,1.81,4.32
182,1.82,1.63
183,1.83,4.17
184,1.84,4.37
185,1.85,2.60
186,1.86,1.08
187,1.87,5.14
188,1.88,4.08
189,1.89,2.45
190,1.90,1.53
191,1.91,5.59
192,1.92,3.97
193,1.93,5.81
194,1.94,3.10
195,1.95,2.61
196,1.96,3.14
197,1.97,2.21
198,1.98,3.98
199,1.99,5.74
200,2.00,4.77
201,2.01,5.85
202,2.02,1.02
203,2.03,3.97
204,2.04,3.64
205,2.05,2.67
206,2.06,1.00
207,2.07,5.32
208,2.08,1.64
209,2.09,2.86
210,2.10,1.65
211,2.11,2.16
212,2.12,3.20
213,2.13,4.81
214,2.14,3.08
215,2.15,4.81
216,2.16,4.21
217,2.17,2.73
218,2.18,1.90
219,2.19,4.63
220,2.20,2.11
221,2.21,0.99
222,2.22,2.92
