"Resumen de la Prueba"
"Parámetro","Valor"
"Nombre del archivo","wdwd.csv"
"startTime","2025-09-16T04:27:26.235Z"
"durationLabel","10.00s"
"samplesPerSecondLabel","10 Hz"
"totalSamples","101"

"Estadísticas de la Prueba"
"Sensor","Media","Desv. Est.","Mín","Máx"
"Sensor 1","2.53","1.54","-0.75","5.52"
"Sensor 2","2.41","1.47","-0.71","5.48"
"Sensor 3","2.97","1.66","-0.71","5.96"

"#RAW_HEADERS",time,sensor1,sensor2,sensor3
"Datos Recolectados"
"Nº de Muestra","time","Sensor 1","Sensor 2","Sensor 3"
1,0.10,2.48,1.13,4.26
2,0.20,2.14,1.46,1.85
3,0.30,0.43,2.60,1.25
4,0.40,3.92,4.13,3.49
5,0.50,3.04,5.40,3.27
6,0.60,4.35,3.17,2.41
7,0.70,2.96,5.11,2.32
8,0.80,4.98,4.42,5.41
9,0.90,0.96,2.78,5.08
10,1.00,3.02,4.74,2.17
11,1.10,2.59,3.76,4.13
12,1.20,3.56,4.39,-0.13
13,1.30,1.09,1.73,4.08
14,1.40,1.10,0.49,1.97
15,1.50,1.72,0.77,3.83
16,1.60,5.52,4.62,-0.11
17,1.70,1.39,1.40,0.29
18,1.80,3.49,1.76,2.10
19,1.90,3.36,1.69,1.34
20,2.00,4.78,0.16,3.08
21,2.10,3.16,3.48,3.07
22,2.20,4.30,1.49,5.09
23,2.30,1.73,2.98,3.78
24,2.40,2.27,3.49,5.22
25,2.50,2.13,1.70,2.71
26,2.60,2.08,2.91,4.75
27,2.70,4.22,-0.05,5.96
28,2.80,3.92,2.04,2.96
29,2.90,3.37,1.65,2.78
30,3.00,2.75,2.21,5.17
31,3.10,3.54,2.22,3.33
32,3.20,1.60,2.03,4.09
33,3.30,3.46,0.51,3.12
34,3.40,1.55,0.62,2.88
35,3.50,2.00,4.79,2.95
36,3.60,1.81,2.73,1.76
37,3.70,3.68,2.32,3.94
38,3.80,-0.26,3.55,3.15
39,3.90,-0.31,3.29,0.19
40,4.00,-0.18,1.90,1.35
41,4.10,1.60,2.48,1.53
42,4.20,4.04,1.08,0.26
43,4.30,3.01,2.25,0.71
44,4.40,1.84,4.55,0.73
45,4.50,1.51,3.02,1.92
46,4.60,0.97,5.01,3.26
47,4.70,-0.69,0.79,3.30
48,4.80,0.75,2.65,5.53
49,4.90,2.36,3.53,5.75
50,5.00,2.36,3.05,5.02
51,5.10,3.06,1.46,4.21
52,5.20,-0.75,2.26,2.70
53,5.30,1.80,0.46,0.82
54,5.40,0.19,-0.16,3.02
55,5.50,-0.69,1.57,3.41
56,5.60,0.74,3.26,-0.29
57,5.70,4.08,0.02,3.41
58,5.80,4.01,-0.71,2.52
59,5.90,4.27,2.27,-0.07
60,6.00,4.49,0.00,0.73
61,6.10,2.86,1.99,1.36
62,6.20,3.19,0.62,3.59
63,6.30,0.89,1.39,2.66
64,6.40,0.95,1.36,5.13
65,6.50,1.01,0.69,5.25
66,6.60,3.65,2.86,5.80
67,6.70,3.03,4.44,5.11
68,6.80,1.42,4.34,4.17
69,6.90,2.34,1.19,5.48
70,7.00,5.35,2.72,2.46
71,7.10,4.95,1.50,3.98
72,7.20,2.18,3.40,3.31
73,7.30,2.78,3.52,3.62
74,7.40,2.66,3.92,4.72
75,7.50,1.59,3.80,3.98
76,7.60,3.48,3.54,-0.23
77,7.70,2.23,1.50,0.79
78,7.80,2.31,3.14,2.78
79,7.90,1.69,3.48,3.23
80,8.00,2.45,4.10,3.18
81,8.10,3.87,3.73,3.54
82,8.20,3.38,4.21,0.47
83,8.30,2.27,-0.25,4.65
84,8.40,2.29,0.30,2.59
85,8.50,5.38,3.71,4.85
86,8.60,5.10,0.41,2.41
87,8.70,4.52,1.03,3.55
88,8.80,1.05,1.76,4.01
89,8.90,3.14,0.77,1.09
90,9.00,5.35,1.10,5.84
91,9.10,4.31,3.74,2.57
92,9.20,4.99,2.85,4.51
93,9.30,0.92,3.31,0.91
94,9.40,1.96,3.81,3.48
95,9.50,0.56,0.78,1.36
96,9.60,3.21,2.34,4.00
97,9.70,3.17,4.55,-0.71
98,9.80,4.29,2.17,3.94
99,9.90,-0.38,5.48,0.73
100,10.00,1.93,1.73,2.71
101,10.00,0.08,2.35,3.91
