"Resumen de la Prueba"
"Parámetro","Valor"
"Nombre del archivo","we.csv"
"startTime","2025-09-16T05:30:03.032Z"
"durationLabel","8.18s"
"samplesPerSecondLabel","100 Hz"
"totalSamples","818"
"dominantRegimen","TRANSITION"

"Estadísticas de la Prueba"
"Sensor","Media","Desv. Est.","Mín","Máx"
"Sensor 1","2.64","1.60","-0.98","5.96"

"#RAW_HEADERS",time,sensor1
"Datos Recolectados"
"Nº de Muestra","time","Sensor 1"
1,0.01,3.22
2,0.02,2.00
3,0.03,1.71
4,0.04,1.01
5,0.05,1.42
6,0.06,1.04
7,0.07,2.25
8,0.08,2.68
9,0.09,4.04
10,0.10,0.92
11,0.11,4.56
12,0.12,2.87
13,0.13,1.47
14,0.14,2.25
15,0.15,5.04
16,0.16,4.89
17,0.17,1.37
18,0.18,2.99
19,0.19,0.60
20,0.20,3.48
21,0.21,1.85
22,0.22,3.26
23,0.23,3.23
24,0.24,0.46
25,0.25,4.26
26,0.26,1.62
27,0.27,4.37
28,0.28,2.38
29,0.29,2.06
30,0.30,1.85
31,0.31,0.56
32,0.32,4.08
33,0.33,4.09
34,0.34,4.77
35,0.35,0.82
36,0.36,1.19
37,0.37,2.19
38,0.38,2.61
39,0.39,4.79
40,0.40,4.77
41,0.41,5.25
42,0.42,2.00
43,0.43,0.62
44,0.44,2.23
45,0.45,3.28
46,0.46,4.42
47,0.47,3.17
48,0.48,1.12
49,0.49,3.02
50,0.50,1.61
51,0.51,1.25
52,0.52,3.19
53,0.53,2.44
54,0.54,3.06
55,0.55,1.58
56,0.56,3.14
57,0.57,2.44
58,0.58,2.23
59,0.59,3.74
60,0.60,2.94
61,0.61,0.90
62,0.62,3.02
63,0.63,3.76
64,0.64,1.96
65,0.65,3.92
66,0.66,3.18
67,0.67,2.13
68,0.68,2.30
69,0.69,0.75
70,0.70,1.50
71,0.71,2.11
72,0.72,3.45
73,0.73,3.01
74,0.74,2.81
75,0.75,3.38
76,0.76,1.09
77,0.77,3.90
78,0.78,3.13
79,0.79,4.07
80,0.80,3.00
81,0.81,1.90
82,0.82,2.51
83,0.83,5.51
84,0.84,2.33
85,0.85,4.78
86,0.86,4.60
87,0.87,5.23
88,0.88,3.21
89,0.89,5.10
90,0.90,2.71
91,0.91,3.99
92,0.92,4.13
93,0.93,5.71
94,0.94,3.88
95,0.95,1.90
96,0.96,2.40
97,0.97,1.13
98,0.98,3.00
