"Resumen de la Prueba"
"Parámetro","Valor"
"Nombre del archivo","xgz.csv"
"startTime","2025-09-16T04:27:54.349Z"
"durationLabel","10.00s"
"samplesPerSecondLabel","20 Hz"
"totalSamples","200"

"Estadísticas de la Prueba"
"Sensor","Media","Desv. Est.","Mín","Máx"
"Sensor 1","2.70","1.55","-0.84","5.87"
"Sensor 2","2.72","1.65","-0.92","5.99"
"Sensor 3","2.31","1.68","-0.97","5.59"
"Sensor 4","2.42","1.62","-0.87","5.81"

"#RAW_HEADERS",time,sensor1,sensor2,sensor3,sensor4
"Datos Recolectados"
"Nº de Muestra","time","Sensor 1","Sensor 2","Sensor 3","Sensor 4"
1,0.05,0.06,4.54,1.34,4.86
2,0.10,2.68,1.92,4.45,5.21
3,0.15,2.58,3.08,5.35,2.27
4,0.20,4.26,4.93,3.05,5.34
5,0.25,4.68,3.44,3.74,1.47
6,0.30,3.49,2.53,1.43,2.97
7,0.35,0.43,5.10,5.42,2.13
8,0.40,2.98,1.59,2.70,2.89
9,0.45,3.08,4.26,2.81,4.13
10,0.50,4.21,1.06,5.35,5.25
11,0.55,3.74,1.77,4.57,3.91
12,0.60,4.43,4.35,1.68,1.34
13,0.65,3.94,5.66,2.96,5.02
14,0.70,2.07,2.38,3.79,0.67
15,0.75,3.57,5.40,5.34,0.34
16,0.80,1.04,2.91,0.85,3.30
17,0.85,4.21,5.99,4.62,3.70
18,0.90,1.61,3.57,2.27,-0.26
19,0.95,1.70,4.67,3.48,2.81
20,1.00,1.71,0.95,1.35,-0.49
21,1.05,3.41,1.53,2.89,-0.67
22,1.10,5.82,5.53,3.13,3.33
23,1.15,5.66,1.95,1.45,1.98
24,1.20,1.67,3.50,0.45,2.13
25,1.25,3.93,3.05,2.58,0.61
26,1.30,2.88,4.12,1.33,2.96
27,1.35,1.56,3.81,1.56,0.02
28,1.40,2.54,3.15,2.44,0.05
29,1.45,2.46,1.64,0.63,4.53
30,1.50,4.01,3.53,1.39,2.20
31,1.55,2.16,3.49,1.94,3.62
32,1.60,4.55,1.90,0.24,3.02
33,1.65,3.00,0.27,2.82,4.13
34,1.70,4.48,1.88,3.76,1.31
35,1.75,5.52,1.12,3.47,2.98
36,1.80,4.23,3.50,0.43,4.24
37,1.85,4.79,1.72,0.99,1.07
38,1.90,4.33,-0.30,4.11,3.21
39,1.95,3.09,3.96,0.25,5.81
40,2.00,5.45,3.42,3.36,5.08
41,2.05,2.32,0.67,3.99,2.03
42,2.10,3.01,-0.18,4.90,5.15
43,2.15,3.14,3.24,4.66,5.20
44,2.20,4.72,0.50,2.66,0.90
45,2.25,4.88,3.18,4.58,2.08
46,2.30,2.64,1.06,3.87,1.18
47,2.35,4.17,2.91,5.28,3.85
48,2.40,3.15,2.09,1.44,2.06
49,2.45,0.96,3.32,2.19,1.55
50,2.50,3.83,0.25,4.28,0.67
51,2.55,4.71,3.85,1.15,0.40
52,2.60,3.49,0.56,5.59,0.48
53,2.65,3.45,2.68,4.18,-0.87
54,2.70,4.97,2.47,4.91,0.96
55,2.75,4.54,2.16,2.07,3.47
56,2.80,1.19,0.74,1.75,3.44
57,2.85,4.17,3.19,0.91,3.60
58,2.90,2.71,4.41,3.20,3.22
59,2.95,2.09,2.98,1.54,0.75
60,3.00,4.79,3.08,3.71,1.92
61,3.05,0.72,2.92,1.31,2.82
62,3.10,2.65,0.11,0.97,2.21
63,3.15,1.58,1.07,4.88,1.05
64,3.20,0.62,1.81,1.92,4.23
65,3.25,4.86,1.80,4.51,3.28
66,3.30,2.25,4.74,3.95,1.85
67,3.35,0.41,4.15,1.10,4.91
68,3.40,1.69,3.29,0.93,5.05
69,3.45,3.12,5.03,0.39,2.64
70,3.50,2.67,1.09,0.05,2.37
71,3.55,-0.03,2.95,1.31,1.85
72,3.60,-0.07,5.62,0.57,3.63
73,3.65,4.03,2.03,-0.97,2.68
74,3.70,0.51,1.62,-0.20,5.11
75,3.75,1.98,2.24,0.69,3.85
76,3.80,2.91,5.82,2.14,0.83
77,3.85,1.33,3.31,2.26,3.17
78,3.90,1.72,4.34,-0.22,4.96
79,3.95,3.07,3.94,3.58,0.58
80,4.00,3.12,1.57,1.36,0.11
81,4.05,-0.06,4.17,2.52,3.77
82,4.10,3.32,5.61,0.06,2.64
83,4.15,-0.79,5.60,3.71,1.39
84,4.20,1.53,4.82,3.10,-0.80
85,4.25,4.05,1.03,0.59,2.95
86,4.30,-0.06,5.69,0.54,1.81
87,4.35,3.04,1.15,3.87,1.06
88,4.40,2.91,4.08,1.79,1.92
89,4.45,3.50,1.57,3.22,1.86
90,4.50,1.21,3.63,4.71,1.55
91,4.55,0.75,0.51,1.21,0.56
92,4.60,3.44,5.12,1.29,3.59
93,4.65,-0.15,2.53,2.17,0.66
94,4.70,2.24,2.23,3.32,1.77
95,4.75,0.73,4.16,3.60,2.95
96,4.80,3.27,3.22,3.54,3.95
97,4.85,-0.84,1.06,1.73,1.09
98,4.90,0.90,-0.16,5.22,3.38
99,4.95,2.26,-0.24,4.29,1.58
100,5.00,2.12,-0.47,0.70,1.95
101,5.05,1.44,0.50,5.47,1.54
102,5.10,0.85,-0.33,5.30,4.90
