"Resumen de la Prueba"
"Parámetro","Valor"
"Nombre del archivo","xx.csv"
"startTime","2025-07-30T21:50:37.043Z"
"durationLabel","10.00s"
"samplesPerSecondLabel","1 Hz"
"totalSamples","10"
"dominantRegimen","indeterminado"

"Estadísticas de la Prueba"
"Sensor","Media","Desv. Est.","Mín","Máx"
"Sensor 1","3.36","1.31","1.30","5.07"
"Sensor 3","3.01","1.52","0.79","5.21"

"#RAW_HEADERS",time,sensor1,sensor3
"Datos Recolectados"
"Nº de Muestra","time","Sensor 1","Sensor 3"
1,1.00,4.30,3.91
2,2.00,1.30,0.79
3,3.00,4.16,1.63
4,4.00,3.80,1.51
5,5.00,2.44,1.62
6,6.00,2.13,4.21
7,7.00,4.89,4.08
8,8.00,3.50,4.28
9,9.00,5.07,2.86
10,10.00,1.99,5.21
